Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,38.02516021,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,38.102327,NaN
A05,FAM,N1,Unkn,MI_XX_A,38.07274587,NaN
A06,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A07,FAM,N1,Unkn,MI_XX_A,37.76429707,NaN
A09,FAM,N1,Unkn,CC_XX_A,37.49196162,NaN
A10,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A11,FAM,N1,Unkn,CC_XX_A,35.76871464,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,38.98491485,NaN
A17,FAM,N2,Unkn,MI_XX_A,39.29351188,NaN
A18,FAM,N2,Unkn,MI_XX_A,39.74136599,NaN
A19,FAM,N2,Unkn,CC_XX_A,39.28221984,NaN
A20,FAM,N2,Unkn,CC_XX_A,39.01666723,NaN
A21,FAM,N2,Unkn,CC_XX_A,39.25617301,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,29.91173336,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.9810695,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.38123086,NaN
C01,FAM,N1,Unkn,NO_XX_B,39.11287712,NaN
C02,FAM,N1,Unkn,NO_XX_B,37.47553628,NaN
C03,FAM,N1,Unkn,NO_XX_B,38.11703557,NaN
C05,FAM,N1,Unkn,MI_XX_B,37.45157631,NaN
C06,FAM,N1,Unkn,MI_XX_B,37.42225115,NaN
C07,FAM,N1,Unkn,MI_XX_B,36.7407843,NaN
C09,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C10,FAM,N1,Unkn,CC_XX_B,39.13103304,NaN
C11,FAM,N1,Unkn,CC_XX_B,39.05117315,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,39.96588307,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,38.86274871,NaN
C17,FAM,N2,Unkn,MI_XX_B,38.53264235,NaN
C18,FAM,N2,Unkn,MI_XX_B,38.30067161,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,39.1377835,NaN
C21,FAM,N2,Unkn,CC_XX_B,38.92886454,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,30.2272414,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,29.20649818,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.77007329,NaN
E01,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E02,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E03,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E05,FAM,N1,Unkn,MI_XX_C,37.51139585,NaN
E06,FAM,N1,Unkn,MI_XX_C,37.91438617,NaN
E07,FAM,N1,Unkn,MI_XX_C,37.04288381,NaN
E09,FAM,N1,Unkn,CC_XX_C,37.01026999,NaN
E10,FAM,N1,Unkn,CC_XX_C,38.07067414,NaN
E11,FAM,N1,Unkn,CC_XX_C,36.45715107,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E16,FAM,N2,Unkn,MI_XX_C,39.2061549,NaN
E17,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E18,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E19,FAM,N2,Unkn,CC_XX_C,38.17162736,NaN
E20,FAM,N2,Unkn,CC_XX_C,39.14675836,NaN
E21,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,29.14993837,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,28.90018524,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,28.17891405,NaN
G01,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G02,FAM,N1,Unkn,NO_XX_D,38.10834601,NaN
G03,FAM,N1,Unkn,NO_XX_D,39.01618354,NaN
G05,FAM,N1,Unkn,MI_XX_D,37.27038257,NaN
G06,FAM,N1,Unkn,MI_XX_D,38.88335171,NaN
G07,FAM,N1,Unkn,MI_XX_D,NaN,NaN
G09,FAM,N1,Unkn,CC_XX_D,37.03551343,NaN
G10,FAM,N1,Unkn,CC_XX_D,39.18738964,NaN
