Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A05,FAM,N1,Unkn,MI_XX_A,37.39890602,NaN
A06,FAM,N1,Unkn,MI_XX_A,36.96102646,NaN
A07,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A09,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A10,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A11,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,39.24242818,NaN
A17,FAM,N2,Unkn,MI_XX_A,38.76222226,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,28.50319023,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.48558268,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.42216309,NaN
C01,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C02,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C03,FAM,N1,Unkn,NO_XX_B,38.4072823,NaN
C05,FAM,N1,Unkn,MI_XX_B,36.37154035,NaN
C06,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C07,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C09,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C10,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C11,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,39.9476844,NaN
C18,FAM,N2,Unkn,MI_XX_B,39.77281489,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C21,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,28.14422015,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,28.12582179,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.26394769,NaN
E01,FAM,N1,Unkn,NO_XX_C,38.49804341,NaN
E02,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E03,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E05,FAM,N1,Unkn,MI_XX_C,NaN,NaN
E06,FAM,N1,Unkn,MI_XX_C,NaN,NaN
E07,FAM,N1,Unkn,MI_XX_C,38.27670999,NaN
E09,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E10,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E11,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,39.93361931,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,39.78040562,NaN
E18,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E19,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E20,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E21,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,28.15269731,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,28.19276935,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,28.3647139,NaN
G01,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G02,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G03,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G05,FAM,N1,Unkn,MI_XX_D,37.2438219,NaN
G06,FAM,N1,Unkn,MI_XX_D,NaN,NaN
G07,FAM,N1,Unkn,MI_XX_D,37.34291764,NaN
G09,FAM,N1,Unkn,CC_XX_D,NaN,NaN
G10,FAM,N1,Unkn,CC_XX_D,NaN,NaN
G11,FAM,N1,Unkn,CC_XX_D,NaN,NaN
G13,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G14,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G15,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G16,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G17,FAM,N2,Unkn,MI_XX_D,39.34249014,NaN
G18,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G19,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G20,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G21,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G22,FAM,BCOV,Unkn,CG,18.58968647,NaN
G23,FAM,BCOV,Unkn,CG,18.62474438,NaN
G24,FAM,BCOV,Unkn,CG,18.70004445,NaN
I01,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I02,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I03,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I05,FAM,N1,Unkn,MI_XX_E,38.40197041,NaN
I06,FAM,N1,Unkn,MI_XX_E,37.3492505,NaN
I07,FAM,N1,Unkn,MI_XX_E,36.93396086,NaN
I09,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I10,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I11,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I13,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I14,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I15,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I16,FAM,N2,Unkn,MI_XX_E,38.93550495,NaN
I17,FAM,N2,Unkn,MI_XX_E,NaN,NaN
