Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A05,FAM,N1,Unkn,MI_XX_A,39.57946395,NaN
A06,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A07,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A09,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A10,FAM,N1,Unkn,CC_XX_A,37.32111876,NaN
A11,FAM,N1,Unkn,CC_XX_A,37.37975655,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,38.27575261,NaN
A21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,28.50363517,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.48275731,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.33631949,NaN
C01,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C02,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C03,FAM,N1,Unkn,NO_XX_B,38.25618612,NaN
C05,FAM,N1,Unkn,MI_XX_B,36.91686334,NaN
C06,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C07,FAM,N1,Unkn,MI_XX_B,38.0845708,NaN
C09,FAM,N1,Unkn,CC_XX_B,36.34533629,NaN
C10,FAM,N1,Unkn,CC_XX_B,38.29278832,NaN
C11,FAM,N1,Unkn,CC_XX_B,36.40675952,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C18,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,39.63887171,NaN
C21,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,28.49798875,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,28.38794427,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.41447752,NaN
E01,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E02,FAM,N1,Unkn,NO_XX_C,37.57239667,NaN
E03,FAM,N1,Unkn,NO_XX_C,38.5860891,NaN
E05,FAM,N1,Unkn,MI_XX_C,36.56387879,NaN
E06,FAM,N1,Unkn,MI_XX_C,36.04478387,NaN
E07,FAM,N1,Unkn,MI_XX_C,37.14697109,NaN
E09,FAM,N1,Unkn,CC_XX_C,37.6144909,NaN
E10,FAM,N1,Unkn,CC_XX_C,36.12335577,NaN
E11,FAM,N1,Unkn,CC_XX_C,35.36126901,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E18,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E19,FAM,N2,Unkn,CC_XX_C,37.92894638,NaN
E20,FAM,N2,Unkn,CC_XX_C,37.63302604,NaN
E21,FAM,N2,Unkn,CC_XX_C,37.92584678,NaN
E22,FAM,BCOV,Unkn,NO_XX_C,29.31405664,NaN
E23,FAM,BCOV,Unkn,NO_XX_C,29.10666703,NaN
E24,FAM,BCOV,Unkn,NO_XX_C,29.00405058,NaN
G01,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G02,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G03,FAM,N1,Unkn,NO_XX_D,38.76851682,NaN
G05,FAM,N1,Unkn,MI_XX_D,39.2890116,NaN
G06,FAM,N1,Unkn,MI_XX_D,37.95964351,NaN
G07,FAM,N1,Unkn,MI_XX_D,NaN,NaN
G09,FAM,N1,Unkn,CC_XX_D,37.06718192,NaN
G10,FAM,N1,Unkn,CC_XX_D,37.19202765,NaN
G11,FAM,N1,Unkn,CC_XX_D,37.224188,NaN
G13,FAM,N2,Unkn,NO_XX_D,39.1277187,NaN
G14,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G15,FAM,N2,Unkn,NO_XX_D,39.20735388,NaN
G16,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G17,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G18,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G19,FAM,N2,Unkn,CC_XX_D,37.30562961,NaN
G20,FAM,N2,Unkn,CC_XX_D,37.83924536,NaN
G21,FAM,N2,Unkn,CC_XX_D,38.73110299,NaN
G22,FAM,BCOV,Unkn,CG_XX,18.6756985,NaN
G23,FAM,BCOV,Unkn,CG_XX,18.76263178,NaN
G24,FAM,BCOV,Unkn,CG_XX,18.6750763,NaN
I01,FAM,N1,Unkn,NO_XX_E,36.83522112,NaN
I02,FAM,N1,Unkn,NO_XX_E,37.41492512,NaN
I03,FAM,N1,Unkn,NO_XX_E,37.26413631,NaN
I05,FAM,N1,Unkn,MI_XX_E,37.02267568,NaN
I06,FAM,N1,Unkn,MI_XX_E,36.0124831,NaN
I07,FAM,N1,Unkn,MI_XX_E,37.28979379,NaN
I09,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I10,FAM,N1,Unkn,CC_XX_E,35.57790356,NaN
I11,FAM,N1,Unkn,CC_XX_E,37.00390658,NaN
I13,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I14,FAM,N2,Unkn,NO_XX_E,39.88156379,NaN
I15,FAM,N2,Unkn,NO_XX_E,NaN,NaN
