Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,36.34208118,NaN
A02,FAM,N1,Unkn,NO_XX_A,35.71713052,NaN
A03,FAM,N1,Unkn,NO_XX_A,35.0980361,NaN
A05,FAM,N1,Unkn,MI_XX_A,35.19680034,NaN
A06,FAM,N1,Unkn,MI_XX_A,35.73258366,NaN
A07,FAM,N1,Unkn,MI_XX_A,36.19321862,NaN
A09,FAM,N1,Unkn,CC_XX_A,35.4101558,NaN
A10,FAM,N1,Unkn,CC_XX_A,36.20150658,NaN
A11,FAM,N1,Unkn,CC_XX_A,35.59835731,NaN
A13,FAM,N2,Unkn,NO_XX_A,37.75835578,NaN
A14,FAM,N2,Unkn,NO_XX_A,38.27163835,NaN
A15,FAM,N2,Unkn,NO_XX_A,37.73665798,NaN
A16,FAM,N2,Unkn,MI_XX_A,38.88964411,NaN
A17,FAM,N2,Unkn,MI_XX_A,37.0956679,NaN
A18,FAM,N2,Unkn,MI_XX_A,36.86234256,NaN
A19,FAM,N2,Unkn,CC_XX_A,37.11988626,NaN
A20,FAM,N2,Unkn,CC_XX_A,37.36213588,NaN
A21,FAM,N2,Unkn,CC_XX_A,37.21392874,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,29.15877017,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,29.07747957,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,29.20089796,NaN
C01,FAM,N1,Unkn,NO_XX_B,36.20242381,NaN
C02,FAM,N1,Unkn,NO_XX_B,36.60231301,NaN
C03,FAM,N1,Unkn,NO_XX_B,36.55088487,NaN
C05,FAM,N1,Unkn,MI_XX_B,35.16393838,NaN
C06,FAM,N1,Unkn,MI_XX_B,35.71747782,NaN
C07,FAM,N1,Unkn,MI_XX_B,35.27568942,NaN
C09,FAM,N1,Unkn,CC_XX_B,35.47549346,NaN
C10,FAM,N1,Unkn,CC_XX_B,35.6299569,NaN
C11,FAM,N1,Unkn,CC_XX_B,35.38578874,NaN
C13,FAM,N2,Unkn,NO_XX_B,37.44379099,NaN
C14,FAM,N2,Unkn,NO_XX_B,38.47773979,NaN
C15,FAM,N2,Unkn,NO_XX_B,38.41193661,NaN
C16,FAM,N2,Unkn,MI_XX_B,36.69078411,NaN
C17,FAM,N2,Unkn,MI_XX_B,37.16787655,NaN
C18,FAM,N2,Unkn,MI_XX_B,36.62550969,NaN
C19,FAM,N2,Unkn,CC_XX_B,37.02492444,NaN
C20,FAM,N2,Unkn,CC_XX_B,37.43620057,NaN
C21,FAM,N2,Unkn,CC_XX_B,36.31909292,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,29.41944115,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,29.06973809,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,29.16103487,NaN
E01,FAM,N1,Unkn,NO_XX_C,35.93493717,NaN
E02,FAM,N1,Unkn,NO_XX_C,37.20885154,NaN
E03,FAM,N1,Unkn,NO_XX_C,36.69674107,NaN
E05,FAM,N1,Unkn,MI_XX_C,36.11568211,NaN
E06,FAM,N1,Unkn,MI_XX_C,34.83009374,NaN
E07,FAM,N1,Unkn,MI_XX_C,36.04948818,NaN
E09,FAM,N1,Unkn,CC_XX_C,35.23689066,NaN
E10,FAM,N1,Unkn,CC_XX_C,35.19151913,NaN
E11,FAM,N1,Unkn,CC_XX_C,35.13471547,NaN
E13,FAM,N2,Unkn,NO_XX_C,37.47224795,NaN
E14,FAM,N2,Unkn,NO_XX_C,36.86719159,NaN
E15,FAM,N2,Unkn,NO_XX_C,37.51653218,NaN
E16,FAM,N2,Unkn,MI_XX_C,38.13780076,NaN
E17,FAM,N2,Unkn,MI_XX_C,38.3685487,NaN
E18,FAM,N2,Unkn,MI_XX_C,37.8297802,NaN
E19,FAM,N2,Unkn,CC_XX_C,36.04444763,NaN
E20,FAM,N2,Unkn,CC_XX_C,36.19856597,NaN
E21,FAM,N2,Unkn,CC_XX_C,36.21552374,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,29.20773126,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,28.9560803,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,29.75172999,NaN
G01,FAM,N1,Unkn,NO_XX_D,35.75145556,NaN
G02,FAM,N1,Unkn,NO_XX_D,36.54939179,NaN
G03,FAM,N1,Unkn,NO_XX_D,35.63904577,NaN
G05,FAM,N1,Unkn,MI_XX_D,35.73058992,NaN
G06,FAM,N1,Unkn,MI_XX_D,35.65973239,NaN
G07,FAM,N1,Unkn,MI_XX_D,35.24815243,NaN
G09,FAM,N1,Unkn,CC_XX_D,35.50983033,NaN
G10,FAM,N1,Unkn,CC_XX_D,35.88917786,NaN
G11,FAM,N1,Unkn,CC_XX_D,35.00645359,NaN
G13,FAM,N2,Unkn,NO_XX_D,37.40808548,NaN
G14,FAM,N2,Unkn,NO_XX_D,37.68525244,NaN
G15,FAM,N2,Unkn,NO_XX_D,37.78838786,NaN
G16,FAM,N2,Unkn,MI_XX_D,36.49077894,NaN
G17,FAM,N2,Unkn,MI_XX_D,37.20112199,NaN
G18,FAM,N2,Unkn,MI_XX_D,37.37854011,NaN
G19,FAM,N2,Unkn,CC_XX_D,36.19805096,NaN
G20,FAM,N2,Unkn,CC_XX_D,35.96739039,NaN
G21,FAM,BCOV,Unkn,CG,36.24123806,NaN
G22,FAM,BCOV,Unkn,CG,20.64026519,NaN
G23,FAM,BCOV,Unkn,CG,21.1577296,NaN
G24,FAM,BCOV,Unkn,CG,20.83033153,NaN
I01,FAM,N1,Unkn,NO_XX_E,36.06342479,NaN
I02,FAM,N1,Unkn,NO_XX_E,36.28595201,NaN
I03,FAM,N1,Unkn,NO_XX_E,36.38038686,NaN
I05,FAM,N1,Unkn,MI_XX_E,35.44838993,NaN
I06,FAM,N1,Unkn,MI_XX_E,34.77667612,NaN
I07,FAM,N1,Unkn,MI_XX_E,35.38458971,NaN
I09,FAM,N1,Unkn,CC_XX_E,35.06033785,NaN
I10,FAM,N1,Unkn,CC_XX_E,35.14741436,NaN
I11,FAM,N1,Unkn,CC_XX_E,35.46077157,NaN
I13,FAM,N2,Unkn,NO_XX_E,38.5868122,NaN
I14,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I15,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I16,FAM,N2,Unkn,MI_XX_E,36.39714945,NaN
I17,FAM,N2,Unkn,MI_XX_E,35.65109285,NaN
I18,FAM,N2,Unkn,MI_XX_E,35.58071058,NaN
I19,FAM,N2,Unkn,CC_XX_E,NaN,NaN
I20,FAM,N2,Unkn,CC_XX_E,NaN,NaN
I21,FAM,N2,Unkn,CC_XX_E,NaN,NaN
I22,FAM,BCOV,Unkn,NO_XX_RNA,5.352339432,NaN
I23,FAM,BCOV,Unkn,NO_XX_RNA,10.07266372,NaN
I24,FAM,BCOV,Unkn,NO_XX_RNA,5.582671337,NaN
K01,FAM,N1,Unkn,NO_XX_F,36.631943,NaN
K02,FAM,N1,Unkn,NO_XX_F,38.27556237,NaN
K03,FAM,N1,Unkn,NO_XX_F,38.63713288,NaN
K05,FAM,N1,Unkn,MI_XX_F,36.00352152,NaN
K06,FAM,N1,Unkn,MI_XX_F,35.27930911,NaN
K07,FAM,N1,Unkn,MI_XX_F,37.00015913,NaN
K09,FAM,N1,Unkn,CC_XX_F,35.83443238,NaN
K10,FAM,N1,Unkn,CC_XX_F,37.33842782,NaN
K11,FAM,N1,Unkn,CC_XX_F,35.09123838,NaN
K13,FAM,N2,Unkn,NO_XX_F,38.47144496,NaN
K14,FAM,N2,Unkn,NO_XX_F,NaN,NaN
K15,FAM,N2,Unkn,NO_XX_F,NaN,NaN
K16,FAM,N2,Unkn,MI_XX_F,37.51061226,NaN
K17,FAM,N2,Unkn,MI_XX_F,36.60916997,NaN
K18,FAM,N2,Unkn,MI_XX_F,37.02046107,NaN
K19,FAM,N2,Unkn,CC_XX_F,35.68205729,NaN
K20,FAM,N2,Unkn,CC_XX_F,36.37933241,NaN
K21,FAM,N2,Unkn,CC_XX_F,36.95714662,NaN
K22,FAM,BCOV,Unkn,MI_XX_RNA,5.508539188,NaN
K23,FAM,BCOV,Unkn,MI_XX_RNA,6.198332752,NaN
K24,FAM,BCOV,Unkn,MI_XX_RNA,7.362208891,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M09,FAM,N2,Unkn,NO_144_ABC,NaN,NaN
M10,FAM,N2,Unkn,NO_144_ABC,39.79239346,NaN
M11,FAM,N2,Unkn,NO_144_ABC,39.28963246,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M16,FAM,N2,Unkn,MI_144_ABC,39.11180745,NaN
M17,FAM,N2,Unkn,MI_144_ABC,NaN,NaN
M18,FAM,N2,Unkn,MI_144_ABC,NaN,NaN
M19,FAM,N2,Unkn,CC_144_ABC,36.97967131,NaN
M20,FAM,N2,Unkn,CC_144_ABC,36.13059798,NaN
M21,FAM,N2,Unkn,CC_144_ABC,37.25136121,NaN
M22,FAM,BCOV,Unkn,CC_XX_RNA,5.41484836,NaN
M23,FAM,BCOV,Unkn,CC_XX_RNA,5.428385625,NaN
M24,FAM,BCOV,Unkn,CC_XX_RNA,5.655509474,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,15.68165054,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,15.42144314,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,15.5173946,NaN
O09,FAM,N2,Unkn,NO_144_DEF,38.91047557,NaN
O10,FAM,N2,Unkn,NO_144_DEF,38.86698155,NaN
O11,FAM,N2,Unkn,NO_144_DEF,38.4089542,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,17.19410181,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,17.20841252,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,17.12230138,NaN
O16,FAM,N2,Unkn,MI_144_DEF,NaN,NaN
O17,FAM,N2,Unkn,MI_144_DEF,NaN,NaN
O18,FAM,N2,Unkn,MI_144_DEF,39.66160404,NaN
O19,FAM,N2,Unkn,MI_144_DEF,39.5433362,NaN
O20,FAM,N2,Unkn,MI_144_DEF,38.45065068,NaN
O21,FAM,N2,Unkn,MI_144_DEF,38.74951631,NaN
O22,FAM,BCOV,Unkn,H20_XX_RNA,5.640866032,NaN
O23,FAM,BCOV,Unkn,H20_XX_RNA,5.323638458,NaN
O24,FAM,BCOV,Unkn,H20_XX_RNA,5.387431081,NaN
