Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,38.34889915,NaN
A02,FAM,N1,Unkn,NO_XX_A,38.82766826,NaN
A03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A05,FAM,N1,Unkn,MI_XX_A,37.35485019,NaN
A06,FAM,N1,Unkn,MI_XX_A,38.33829364,NaN
A07,FAM,N1,Unkn,MI_XX_A,37.36885446,NaN
A09,FAM,N1,Unkn,CC_XX_A,38.25312388,NaN
A10,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A11,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,28.02087888,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.07093763,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.23278377,NaN
C01,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C02,FAM,N1,Unkn,NO_XX_B,37.38791151,NaN
C03,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C05,FAM,N1,Unkn,MI_XX_B,37.472238,NaN
C06,FAM,N1,Unkn,MI_XX_B,38.2723918,NaN
C07,FAM,N1,Unkn,MI_XX_B,38.32212535,NaN
C09,FAM,N1,Unkn,CC_XX_B,36.29491369,NaN
C10,FAM,N1,Unkn,CC_XX_B,37.32296156,NaN
C11,FAM,N1,Unkn,CC_XX_B,38.25987647,NaN
C13,FAM,N2,Unkn,NO_XX_B,39.23134249,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C18,FAM,N2,Unkn,MI_XX_B,39.8674027,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C21,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,28.08548173,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,28.08582398,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.34842064,NaN
E01,FAM,N1,Unkn,NO_XX_C,36.89762134,NaN
E02,FAM,N1,Unkn,NO_XX_C,37.31964381,NaN
E03,FAM,N1,Unkn,NO_XX_C,36.00863845,NaN
E05,FAM,N1,Unkn,MI_XX_C,37.41749393,NaN
E06,FAM,N1,Unkn,MI_XX_C,38.26201329,NaN
E07,FAM,N1,Unkn,MI_XX_C,37.74099941,NaN
E09,FAM,N1,Unkn,CC_XX_C,38.40792675,NaN
E10,FAM,N1,Unkn,CC_XX_C,38.38830566,NaN
E11,FAM,N1,Unkn,CC_XX_C,37.26431037,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,39.37680013,NaN
E15,FAM,N2,Unkn,NO_XX_C,39.23163368,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,39.66112257,NaN
E18,FAM,N2,Unkn,MI_XX_C,39.47652346,NaN
E19,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E20,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E21,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,28.31413293,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,28.36723967,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,28.6930731,NaN
G01,FAM,N1,Unkn,NO_XX_D,38.36550313,NaN
G02,FAM,N1,Unkn,NO_XX_D,37.28367887,NaN
G03,FAM,N1,Unkn,NO_XX_D,38.26997635,NaN
G05,FAM,N1,Unkn,MI_XX_D,38.39667124,NaN
G06,FAM,N1,Unkn,MI_XX_D,38.33031495,NaN
G07,FAM,N1,Unkn,MI_XX_D,38.22237256,NaN
G09,FAM,N1,Unkn,CC_XX_D,38.37577975,NaN
G10,FAM,N1,Unkn,CC_XX_D,37.06507642,NaN
G11,FAM,N1,Unkn,CC_XX_D,38.34003222,NaN
