Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
B01,FAM,N1,Unkn,NO_ZZ_A,NaN,NaN
B02,FAM,N1,Unkn,NO_ZZ_A,38.44605171,NaN
B03,FAM,N1,Unkn,NO_ZZ_A,NaN,NaN
B05,FAM,N1,Unkn,MI_ZZ_A,NaN,NaN
B06,FAM,N1,Unkn,MI_ZZ_A,NaN,NaN
B07,FAM,N1,Unkn,MI_ZZ_A,NaN,NaN
B09,FAM,N1,Unkn,CC_ZZ_A,NaN,NaN
B10,FAM,N1,Unkn,CC_ZZ_A,NaN,NaN
B11,FAM,N1,Unkn,CC_ZZ_A,NaN,NaN
B13,FAM,N2,Unkn,NO_ZZ_A,NaN,NaN
B14,FAM,N2,Unkn,NO_ZZ_A,NaN,NaN
B15,FAM,N2,Unkn,NO_ZZ_A,NaN,NaN
B16,FAM,N2,Unkn,MI_ZZ_A,NaN,NaN
B17,FAM,N2,Unkn,MI_ZZ_A,NaN,NaN
B18,FAM,N2,Unkn,MI_ZZ_A,NaN,NaN
B19,FAM,N2,Unkn,CC_ZZ_A,NaN,NaN
B20,FAM,N2,Unkn,CC_ZZ_A,NaN,NaN
B21,FAM,N2,Unkn,CC_ZZ_A,39.66314892,NaN
B22,FAM,BCOV,Unkn,NO_ZZ_A,27.01516399,NaN
B23,FAM,BCOV,Unkn,NO_ZZ_A,27.16403336,NaN
B24,FAM,BCOV,Unkn,NO_ZZ_A,27.19153121,NaN
D01,FAM,N1,Unkn,NO_ZZ_B,38.61492992,NaN
D02,FAM,N1,Unkn,NO_ZZ_B,NaN,NaN
D03,FAM,N1,Unkn,NO_ZZ_B,NaN,NaN
D05,FAM,N1,Unkn,MI_ZZ_B,NaN,NaN
D06,FAM,N1,Unkn,MI_ZZ_B,NaN,NaN
D07,FAM,N1,Unkn,MI_ZZ_B,NaN,NaN
D09,FAM,N1,Unkn,CC_ZZ_B,38.43349366,NaN
D10,FAM,N1,Unkn,CC_ZZ_B,37.49690713,NaN
D11,FAM,N1,Unkn,CC_ZZ_B,NaN,NaN
D13,FAM,N2,Unkn,NO_ZZ_B,NaN,NaN
D14,FAM,N2,Unkn,NO_ZZ_B,NaN,NaN
D15,FAM,N2,Unkn,NO_ZZ_B,NaN,NaN
D16,FAM,N2,Unkn,MI_ZZ_B,NaN,NaN
