Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,35.53649081,NaN
A02,FAM,N1,Unkn,NO_XX_A,35.43200121,NaN
A03,FAM,N1,Unkn,NO_XX_A,35.80915427,NaN
A05,FAM,N1,Unkn,MI_XX_A,36.34642072,NaN
A06,FAM,N1,Unkn,MI_XX_A,38.28553715,NaN
A07,FAM,N1,Unkn,MI_XX_A,37.90372545,NaN
A09,FAM,N1,Unkn,CC_XX_A,36.71343579,NaN
A10,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A11,FAM,N1,Unkn,CC_XX_A,35.81982982,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,28.40324434,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.47508456,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.2602207,NaN
C01,FAM,N1,Unkn,NO_XX_B,36.56189467,NaN
C02,FAM,N1,Unkn,NO_XX_B,35.87744705,NaN
C03,FAM,N1,Unkn,NO_XX_B,36.67255093,NaN
C05,FAM,N1,Unkn,MI_XX_B,37.03178989,NaN
C06,FAM,N1,Unkn,MI_XX_B,35.57185604,NaN
C07,FAM,N1,Unkn,MI_XX_B,36.21060596,NaN
C09,FAM,N1,Unkn,CC_XX_B,36.60688915,NaN
C10,FAM,N1,Unkn,CC_XX_B,36.52838559,NaN
C11,FAM,N1,Unkn,CC_XX_B,36.15466753,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C18,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C21,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,29.01615206,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,28.76359702,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.78810073,NaN
E01,FAM,N1,Unkn,NO_XX_C,35.62125229,NaN
E02,FAM,N1,Unkn,NO_XX_C,35.46392368,NaN
E03,FAM,N1,Unkn,NO_XX_C,35.98222732,NaN
E05,FAM,N1,Unkn,MI_XX_C,37.15358241,NaN
E06,FAM,N1,Unkn,MI_XX_C,35.21075253,NaN
E07,FAM,N1,Unkn,MI_XX_C,35.76225194,NaN
E09,FAM,N1,Unkn,CC_XX_C,37.18786615,NaN
E10,FAM,N1,Unkn,CC_XX_C,35.21636829,NaN
E11,FAM,N1,Unkn,CC_XX_C,34.82842826,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E18,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E19,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E20,FAM,N2,Unkn,CC_XX_C,39.74539371,NaN
E21,FAM,N2,Unkn,CC_XX_C,38.38721963,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,27.97139641,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,27.73643081,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,27.87684934,NaN
G01,FAM,N1,Unkn,NO_XX_D,36.59102754,NaN
G02,FAM,N1,Unkn,NO_XX_D,36.39826098,NaN
G03,FAM,N1,Unkn,NO_XX_D,35.8904002,NaN
G05,FAM,N1,Unkn,MI_XX_D,35.79313115,NaN
G06,FAM,N1,Unkn,MI_XX_D,37.11985721,NaN
G07,FAM,N1,Unkn,MI_XX_D,38.08795637,NaN
G09,FAM,N1,Unkn,CC_XX_D,36.80306833,NaN
G10,FAM,N1,Unkn,CC_XX_D,36.16044604,NaN
G11,FAM,N1,Unkn,CC_XX_D,35.98916781,NaN
G13,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G14,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G15,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G16,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G17,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G18,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G19,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G20,FAM,N2,Unkn,CC_XX_D,39.77463476,NaN
G21,FAM,N2,Unkn,CC_XX_D,38.19344405,NaN
G22,FAM,BCOV,Unkn,CG,18.12100276,NaN
G23,FAM,BCOV,Unkn,CG,18.23995014,NaN
G24,FAM,BCOV,Unkn,CG,18.12392806,NaN
I01,FAM,N1,Unkn,NO_XX_E,36.52966607,NaN
I02,FAM,N1,Unkn,NO_XX_E,38.20266396,NaN
I03,FAM,N1,Unkn,NO_XX_E,36.52213045,NaN
I05,FAM,N1,Unkn,MI_XX_E,NaN,NaN
I06,FAM,N1,Unkn,MI_XX_E,36.80295364,NaN
I07,FAM,N1,Unkn,MI_XX_E,38.0551974,NaN
I09,FAM,N1,Unkn,CC_XX_E,36.28345086,NaN
I10,FAM,N1,Unkn,CC_XX_E,37.07904184,NaN
I11,FAM,N1,Unkn,CC_XX_E,35.89308309,NaN
I13,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I14,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I15,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I16,FAM,N2,Unkn,MI_XX_E,NaN,NaN
I17,FAM,N2,Unkn,MI_XX_E,NaN,NaN
I18,FAM,N2,Unkn,MI_XX_E,NaN,NaN
I19,FAM,N2,Unkn,CC_XX_E,NaN,NaN
I20,FAM,N2,Unkn,CC_XX_E,NaN,NaN
I21,FAM,N2,Unkn,CC_XX_E,39.86243794,NaN
K01,FAM,N1,Unkn,NO_XX_F,36.44304703,NaN
K02,FAM,N1,Unkn,NO_XX_F,37.07667119,NaN
K03,FAM,N1,Unkn,NO_XX_F,37.97953051,NaN
K05,FAM,N1,Unkn,MI_XX_F,36.47491471,NaN
K06,FAM,N1,Unkn,MI_XX_F,35.97983915,NaN
K07,FAM,N1,Unkn,MI_XX_F,36.61672767,NaN
K09,FAM,N1,Unkn,CC_XX_F,36.49335095,NaN
K10,FAM,N1,Unkn,CC_XX_F,35.14135569,NaN
K11,FAM,N1,Unkn,CC_XX_F,36.30170554,NaN
K13,FAM,N2,Unkn,NO_XX_F,NaN,NaN
K14,FAM,N2,Unkn,NO_XX_F,NaN,NaN
K15,FAM,N2,Unkn,NO_XX_F,NaN,NaN
K16,FAM,N2,Unkn,MI_XX_F,NaN,NaN
K17,FAM,N2,Unkn,MI_XX_F,NaN,NaN
K18,FAM,N2,Unkn,MI_XX_F,39.7845108,NaN
K19,FAM,N2,Unkn,CC_XX_F,NaN,NaN
K20,FAM,N2,Unkn,CC_XX_F,39.16356736,NaN
K21,FAM,N2,Unkn,CC_XX_F,NaN,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,NaN,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,NaN,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,NaN,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,NaN,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,NaN,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,NaN,NaN
