Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,37.21484838,NaN
A02,FAM,N1,Unkn,NO_XX_A,36.65881655,NaN
A03,FAM,N1,Unkn,NO_XX_A,37.19288047,NaN
A05,FAM,N1,Unkn,MI_XX_A,37.79529733,NaN
A06,FAM,N1,Unkn,MI_XX_A,39.02748019,NaN
A07,FAM,N1,Unkn,MI_XX_A,37.30287698,NaN
A09,FAM,N1,Unkn,CC_XX_A,36.09203268,NaN
A10,FAM,N1,Unkn,CC_XX_A,36.15974835,NaN
A11,FAM,N1,Unkn,CC_XX_A,37.0454987,NaN
A13,FAM,N2,Unkn,NO_XX_A,39.85505385,NaN
A14,FAM,N2,Unkn,NO_XX_A,39.93171187,NaN
A15,FAM,N2,Unkn,NO_XX_A,38.81110816,NaN
A16,FAM,N2,Unkn,MI_XX_A,38.8794591,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,37.97166862,NaN
A19,FAM,N2,Unkn,CC_XX_A,39.7951711,NaN
A20,FAM,N2,Unkn,CC_XX_A,39.07522924,NaN
A21,FAM,N2,Unkn,CC_XX_A,37.90767438,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,31.36257232,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,30.15793033,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.92188919,NaN
B01,FAM,N1,Unkn,NO_ZZ_A,NaN,NaN
B02,FAM,N1,Unkn,NO_ZZ_A,NaN,NaN
B03,FAM,N1,Unkn,NO_ZZ_A,NaN,NaN
B05,FAM,N1,Unkn,MI_ZZ_A,NaN,NaN
B06,FAM,N1,Unkn,MI_ZZ_A,NaN,NaN
B07,FAM,N1,Unkn,MI_ZZ_A,NaN,NaN
B09,FAM,N1,Unkn,CC_ZZ_A,NaN,NaN
B10,FAM,N1,Unkn,CC_ZZ_A,NaN,NaN
B11,FAM,N1,Unkn,CC_ZZ_A,NaN,NaN
B13,FAM,N2,Unkn,NO_ZZ_A,NaN,NaN
B14,FAM,N2,Unkn,NO_ZZ_A,NaN,NaN
B15,FAM,N2,Unkn,NO_ZZ_A,NaN,NaN
B16,FAM,N2,Unkn,MI_ZZ_A,NaN,NaN
B17,FAM,N2,Unkn,MI_ZZ_A,NaN,NaN
B18,FAM,N2,Unkn,MI_ZZ_A,NaN,NaN
B19,FAM,N2,Unkn,CC_ZZ_A,NaN,NaN
B20,FAM,N2,Unkn,CC_ZZ_A,NaN,NaN
B21,FAM,N2,Unkn,CC_ZZ_A,NaN,NaN
B22,FAM,BCOV,Unkn,NO_ZZ_A,NaN,NaN
B23,FAM,BCOV,Unkn,NO_ZZ_A,NaN,NaN
B24,FAM,BCOV,Unkn,NO_ZZ_A,NaN,NaN
C01,FAM,N1,Unkn,NO_XX_B,38.17173673,NaN
C02,FAM,N1,Unkn,NO_XX_B,36.58482963,NaN
C03,FAM,N1,Unkn,NO_XX_B,36.22659323,NaN
C05,FAM,N1,Unkn,MI_XX_B,35.18105105,NaN
C06,FAM,N1,Unkn,MI_XX_B,35.74056724,NaN
C07,FAM,N1,Unkn,MI_XX_B,35.38970305,NaN
C09,FAM,N1,Unkn,CC_XX_B,36.2915428,NaN
C10,FAM,N1,Unkn,CC_XX_B,37.59603986,NaN
C11,FAM,N1,Unkn,CC_XX_B,37.08914553,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,39.15265311,NaN
C15,FAM,N2,Unkn,NO_XX_B,39.24556038,NaN
C16,FAM,N2,Unkn,MI_XX_B,39.58861101,NaN
C17,FAM,N2,Unkn,MI_XX_B,37.81609871,NaN
C18,FAM,N2,Unkn,MI_XX_B,36.60188129,NaN
C19,FAM,N2,Unkn,CC_XX_B,39.04444193,NaN
C20,FAM,N2,Unkn,CC_XX_B,38.55200554,NaN
C21,FAM,N2,Unkn,CC_XX_B,37.97068933,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,30.70322958,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,29.46873884,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.665688,NaN
D01,FAM,N1,Unkn,NO_ZZ_B,NaN,NaN
D02,FAM,N1,Unkn,NO_ZZ_B,NaN,NaN
D03,FAM,N1,Unkn,NO_ZZ_B,NaN,NaN
D05,FAM,N1,Unkn,MI_ZZ_B,NaN,NaN
D06,FAM,N1,Unkn,MI_ZZ_B,NaN,NaN
D07,FAM,N1,Unkn,MI_ZZ_B,NaN,NaN
D09,FAM,N1,Unkn,CC_ZZ_B,NaN,NaN
D10,FAM,N1,Unkn,CC_ZZ_B,NaN,NaN
D11,FAM,N1,Unkn,CC_ZZ_B,NaN,NaN
D13,FAM,N2,Unkn,NO_ZZ_B,NaN,NaN
D14,FAM,N2,Unkn,NO_ZZ_B,NaN,NaN
D15,FAM,N2,Unkn,NO_ZZ_B,NaN,NaN
D16,FAM,N2,Unkn,MI_ZZ_B,NaN,NaN
D17,FAM,N2,Unkn,MI_ZZ_B,NaN,NaN
D18,FAM,N2,Unkn,MI_ZZ_B,NaN,NaN
D19,FAM,N2,Unkn,CC_ZZ_B,NaN,NaN
D20,FAM,N2,Unkn,CC_ZZ_B,NaN,NaN
D21,FAM,N2,Unkn,CC_ZZ_B,NaN,NaN
D22,FAM,BCOV,Unkn,NO_ZZ_B,NaN,NaN
D23,FAM,BCOV,Unkn,NO_ZZ_B,NaN,NaN
D24,FAM,BCOV,Unkn,NO_ZZ_B,NaN,NaN
E01,FAM,N1,Unkn,NO_XX_C,37.89500123,NaN
E02,FAM,N1,Unkn,NO_XX_C,38.15706364,NaN
E03,FAM,N1,Unkn,NO_XX_C,36.05396251,NaN
E05,FAM,N1,Unkn,MI_XX_C,37.19833379,NaN
E06,FAM,N1,Unkn,MI_XX_C,37.71177315,NaN
E07,FAM,N1,Unkn,MI_XX_C,36.29366404,NaN
E09,FAM,N1,Unkn,CC_XX_C,36.28238418,NaN
E10,FAM,N1,Unkn,CC_XX_C,36.95524526,NaN
E11,FAM,N1,Unkn,CC_XX_C,36.99049693,NaN
E13,FAM,N2,Unkn,NO_XX_C,38.57827558,NaN
E14,FAM,N2,Unkn,NO_XX_C,39.24037908,NaN
E15,FAM,N2,Unkn,NO_XX_C,38.0345407,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,39.22949428,NaN
E18,FAM,N2,Unkn,MI_XX_C,37.64826205,NaN
E19,FAM,N2,Unkn,CC_XX_C,38.89507823,NaN
E20,FAM,N2,Unkn,CC_XX_C,36.94979474,NaN
E21,FAM,N2,Unkn,CC_XX_C,38.00136747,NaN
E22,FAM,BCOV,Unkn,NO_XX_C,30.10195293,NaN
E23,FAM,BCOV,Unkn,NO_XX_C,29.3791916,NaN
E24,FAM,BCOV,Unkn,NO_XX_C,28.68089143,NaN
F01,FAM,N1,Unkn,NO_ZZ_C,NaN,NaN
F02,FAM,N1,Unkn,NO_ZZ_C,NaN,NaN
F03,FAM,N1,Unkn,NO_ZZ_C,NaN,NaN
