Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,39.20143178,NaN
A02,FAM,N1,Unkn,NO_XX_A,37.47983252,NaN
A03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A05,FAM,N1,Unkn,MI_XX_A,35.55422078,NaN
A06,FAM,N1,Unkn,MI_XX_A,35.43749579,NaN
A07,FAM,N1,Unkn,MI_XX_A,36.69001881,NaN
A09,FAM,N1,Unkn,CC_XX_A,38.10953311,NaN
A10,FAM,N1,Unkn,CC_XX_A,36.21842516,NaN
A11,FAM,N1,Unkn,CC_XX_A,36.18240613,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,39.40456842,NaN
A17,FAM,N2,Unkn,MI_XX_A,38.00528279,NaN
A18,FAM,N2,Unkn,MI_XX_A,38.35514305,NaN
A19,FAM,N2,Unkn,CC_XX_A,39.02150562,NaN
A20,FAM,N2,Unkn,CC_XX_A,37.69471331,NaN
A21,FAM,N2,Unkn,CC_XX_A,38.59126943,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,28.85324491,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.90184603,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.78837995,NaN
C01,FAM,N1,Unkn,NO_XX_B,38.26892999,NaN
C02,FAM,N1,Unkn,NO_XX_B,39.01791124,NaN
C03,FAM,N1,Unkn,NO_XX_B,38.81951772,NaN
C05,FAM,N1,Unkn,MI_XX_B,38.11984534,NaN
C06,FAM,N1,Unkn,MI_XX_B,35.96428298,NaN
C07,FAM,N1,Unkn,MI_XX_B,35.53975224,NaN
C09,FAM,N1,Unkn,CC_XX_B,35.06292472,NaN
C10,FAM,N1,Unkn,CC_XX_B,35.83908925,NaN
C11,FAM,N1,Unkn,CC_XX_B,36.96247796,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,39.35489737,NaN
C17,FAM,N2,Unkn,MI_XX_B,38.22456138,NaN
C18,FAM,N2,Unkn,MI_XX_B,38.39103637,NaN
C19,FAM,N2,Unkn,CC_XX_B,38.91404037,NaN
C20,FAM,N2,Unkn,CC_XX_B,39.60380379,NaN
C21,FAM,N2,Unkn,CC_XX_B,38.81532866,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,28.73072735,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,28.57055929,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.64168213,NaN
E01,FAM,N1,Unkn,NO_XX_C,37.90798976,NaN
E02,FAM,N1,Unkn,NO_XX_C,37.97632297,NaN
E03,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E05,FAM,N1,Unkn,MI_XX_C,35.90037536,NaN
E06,FAM,N1,Unkn,MI_XX_C,36.06897391,NaN
E07,FAM,N1,Unkn,MI_XX_C,36.15671706,NaN
E09,FAM,N1,Unkn,CC_XX_C,36.24397878,NaN
E10,FAM,N1,Unkn,CC_XX_C,36.45931173,NaN
E11,FAM,N1,Unkn,CC_XX_C,35.64063658,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E16,FAM,N2,Unkn,MI_XX_C,38.02072425,NaN
E17,FAM,N2,Unkn,MI_XX_C,37.62283648,NaN
E18,FAM,N2,Unkn,MI_XX_C,37.63012877,NaN
E19,FAM,N2,Unkn,CC_XX_C,38.18183097,NaN
E20,FAM,N2,Unkn,CC_XX_C,37.99839088,NaN
E21,FAM,N2,Unkn,CC_XX_C,37.91362092,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,28.63502248,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,28.54532659,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,28.48831405,NaN
G01,FAM,N1,Unkn,NO_XX_D,38.96006118,NaN
G02,FAM,N1,Unkn,NO_XX_D,37.99760571,NaN
G03,FAM,N1,Unkn,NO_XX_D,38.82016653,NaN
G05,FAM,N1,Unkn,MI_XX_D,35.27507254,NaN
G06,FAM,N1,Unkn,MI_XX_D,35.24536043,NaN
G07,FAM,N1,Unkn,MI_XX_D,35.40403734,NaN
G09,FAM,N1,Unkn,CC_XX_D,31.52721522,NaN
G10,FAM,N1,Unkn,CC_XX_D,31.56972192,NaN
G11,FAM,N1,Unkn,CC_XX_D,31.57128523,NaN
G13,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G14,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G15,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G16,FAM,N2,Unkn,MI_XX_D,36.9301895,NaN
G17,FAM,N2,Unkn,MI_XX_D,37.32440897,NaN
G18,FAM,N2,Unkn,MI_XX_D,38.54998618,NaN
