Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,36.76641275,NaN
A05,FAM,N1,Unkn,MI_XX_A,38.26833258,NaN
A06,FAM,N1,Unkn,MI_XX_A,36.39048946,NaN
A07,FAM,N1,Unkn,MI_XX_A,38.67255268,NaN
A09,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A10,FAM,N1,Unkn,CC_XX_A,36.02560966,NaN
A11,FAM,N1,Unkn,CC_XX_A,36.46546426,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,39.36247133,NaN
A15,FAM,N2,Unkn,NO_XX_A,38.23664912,NaN
A16,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,39.43497336,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A21,FAM,N2,Unkn,CC_XX_A,39.80285632,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,29.83986625,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.17805711,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,27.53436105,NaN
C01,FAM,N1,Unkn,NO_XX_B,38.25912848,NaN
C02,FAM,N1,Unkn,NO_XX_B,36.64448695,NaN
C03,FAM,N1,Unkn,NO_XX_B,36.30566702,NaN
C05,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C06,FAM,N1,Unkn,MI_XX_B,36.64034087,NaN
C07,FAM,N1,Unkn,MI_XX_B,37.00002424,NaN
C09,FAM,N1,Unkn,CC_XX_B,36.28013609,NaN
C10,FAM,N1,Unkn,CC_XX_B,36.12369857,NaN
C11,FAM,N1,Unkn,CC_XX_B,38.3867662,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,38.5555808,NaN
C16,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C18,FAM,N2,Unkn,MI_XX_B,39.30192826,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,38.3535002,NaN
C21,FAM,N2,Unkn,CC_XX_B,38.49414598,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,30.03709574,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,28.45141667,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,27.52947522,NaN
E01,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E02,FAM,N1,Unkn,NO_XX_C,37.01440752,NaN
E03,FAM,N1,Unkn,NO_XX_C,36.0049652,NaN
E05,FAM,N1,Unkn,MI_XX_C,38.2673672,NaN
E06,FAM,N1,Unkn,MI_XX_C,38.13725087,NaN
E07,FAM,N1,Unkn,MI_XX_C,37.42275683,NaN
E09,FAM,N1,Unkn,CC_XX_C,35.84687284,NaN
E10,FAM,N1,Unkn,CC_XX_C,36.04320643,NaN
E11,FAM,N1,Unkn,CC_XX_C,36.75565938,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,39.24113876,NaN
E15,FAM,N2,Unkn,NO_XX_C,39.5045436,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E18,FAM,N2,Unkn,MI_XX_C,39.52911537,NaN
E19,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E20,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E21,FAM,N2,Unkn,CC_XX_C,38.00331304,NaN
E22,FAM,BCOV,Unkn,NO_XX_C,29.64158039,NaN
E23,FAM,BCOV,Unkn,NO_XX_C,28.70036417,NaN
E24,FAM,BCOV,Unkn,NO_XX_C,27.59235815,NaN
G01,FAM,N1,Unkn,NO_XX_D,36.63355462,NaN
G02,FAM,N1,Unkn,NO_XX_D,38.38227404,NaN
G03,FAM,N1,Unkn,NO_XX_D,38.27944845,NaN
G05,FAM,N1,Unkn,MI_XX_D,NaN,NaN
G06,FAM,N1,Unkn,MI_XX_D,36.64666487,NaN
G07,FAM,N1,Unkn,MI_XX_D,37.24974129,NaN
G09,FAM,N1,Unkn,CC_XX_D,38.04876367,NaN
G10,FAM,N1,Unkn,CC_XX_D,37.27358172,NaN
G11,FAM,N1,Unkn,CC_XX_D,37.98803235,NaN
G13,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G14,FAM,N2,Unkn,NO_XX_D,39.45810864,NaN
G15,FAM,N2,Unkn,NO_XX_D,38.27096699,NaN
G16,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G17,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G18,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G19,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G20,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G21,FAM,N2,Unkn,CC_XX_D,38.42165564,NaN
G22,FAM,BCOV,Unkn,CG_XX,19.86837494,NaN
G23,FAM,BCOV,Unkn,CG_XX,19.09391916,NaN
G24,FAM,BCOV,Unkn,CG_XX,18.16308514,NaN
I01,FAM,N1,Unkn,NO_XX_E,37.14947896,NaN
I02,FAM,N1,Unkn,NO_XX_E,38.29776654,NaN
I03,FAM,N1,Unkn,NO_XX_E,36.08680952,NaN
I05,FAM,N1,Unkn,MI_XX_E,NaN,NaN
I06,FAM,N1,Unkn,MI_XX_E,38.23534851,NaN
I07,FAM,N1,Unkn,MI_XX_E,37.05867871,NaN
I09,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I10,FAM,N1,Unkn,CC_XX_E,37.1129121,NaN
I11,FAM,N1,Unkn,CC_XX_E,37.32983025,NaN
I13,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I14,FAM,N2,Unkn,NO_XX_E,39.5403684,NaN
I15,FAM,N2,Unkn,NO_XX_E,39.16839525,NaN
