Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_187_A,NaN,NaN
A02,FAM,N1,Unkn,NO_187_A,37.66708226,NaN
A03,FAM,N1,Unkn,NO_187_A,39.00599553,NaN
A05,FAM,N1,Unkn,MI_187_A,39.11876591,NaN
A06,FAM,N1,Unkn,MI_187_A,37.04376764,NaN
A07,FAM,N1,Unkn,MI_187_A,38.07632293,NaN
A09,FAM,N1,Unkn,CC_187_A,36.92779522,NaN
A10,FAM,N1,Unkn,CC_187_A,35.83028392,NaN
A11,FAM,N1,Unkn,CC_187_A,36.10929087,NaN
A13,FAM,N2,Unkn,NO_187_A,39.66021145,NaN
A14,FAM,N2,Unkn,NO_187_A,39.93802769,NaN
A15,FAM,N2,Unkn,NO_187_A,NaN,NaN
A16,FAM,N2,Unkn,MI_187_A,39.63411998,NaN
A17,FAM,N2,Unkn,MI_187_A,39.30466573,NaN
A18,FAM,N2,Unkn,MI_187_A,NaN,NaN
A19,FAM,N2,Unkn,CC_187_A,37.53989863,NaN
A20,FAM,N2,Unkn,CC_187_A,37.49745151,NaN
A21,FAM,N2,Unkn,CC_187_A,38.06418134,NaN
A22,FAM,BCOV,Unkn,NO_187_B,30.09458722,NaN
A23,FAM,BCOV,Unkn,NO_187_B,30.29355343,NaN
A24,FAM,BCOV,Unkn,NO_187_B,30.11232684,NaN
C01,FAM,N1,Unkn,NO_187_B,37.10390273,NaN
C02,FAM,N1,Unkn,NO_187_B,38.06393446,NaN
C03,FAM,N1,Unkn,NO_187_B,37.36724709,NaN
C05,FAM,N1,Unkn,MI_187_B,NaN,NaN
C06,FAM,N1,Unkn,MI_187_B,39.06163049,NaN
C07,FAM,N1,Unkn,MI_187_B,36.57073766,NaN
C09,FAM,N1,Unkn,CC_187_B,35.40317942,NaN
C10,FAM,N1,Unkn,CC_187_B,35.78182282,NaN
C11,FAM,N1,Unkn,CC_187_B,35.55780723,NaN
C13,FAM,N2,Unkn,NO_187_B,NaN,NaN
C14,FAM,N2,Unkn,NO_187_B,NaN,NaN
C15,FAM,N2,Unkn,NO_187_B,NaN,NaN
C16,FAM,N2,Unkn,MI_187_B,39.26533085,NaN
C17,FAM,N2,Unkn,MI_187_B,38.46804406,NaN
C18,FAM,N2,Unkn,MI_187_B,38.74767959,NaN
C19,FAM,N2,Unkn,CC_187_B,37.03918498,NaN
C20,FAM,N2,Unkn,CC_187_B,37.89493254,NaN
C21,FAM,N2,Unkn,CC_187_B,37.05988246,NaN
C22,FAM,BCOV,Unkn,MI_187_B,29.06522844,NaN
C23,FAM,BCOV,Unkn,MI_187_B,30.34558584,NaN
C24,FAM,BCOV,Unkn,MI_187_B,30.3442132,NaN
E01,FAM,N1,Unkn,NO_187_C,37.06051726,NaN
E02,FAM,N1,Unkn,NO_187_C,39.08879568,NaN
E03,FAM,N1,Unkn,NO_187_C,NaN,NaN
E05,FAM,N1,Unkn,MI_187_C,34.2372672,NaN
E06,FAM,N1,Unkn,MI_187_C,33.63873432,NaN
E07,FAM,N1,Unkn,MI_187_C,33.4827901,NaN
E09,FAM,N1,Unkn,CC_187_C,35.38285064,NaN
E10,FAM,N1,Unkn,CC_187_C,35.6974174,NaN
E11,FAM,N1,Unkn,CC_187_C,36.27648072,NaN
E13,FAM,N2,Unkn,NO_187_C,38.10242696,NaN
E14,FAM,N2,Unkn,NO_187_C,39.29444731,NaN
E15,FAM,N2,Unkn,NO_187_C,38.56912097,NaN
E16,FAM,N2,Unkn,MI_187_C,35.03888296,NaN
E17,FAM,N2,Unkn,MI_187_C,35.63712552,NaN
E18,FAM,N2,Unkn,MI_187_C,35.37229368,NaN
E19,FAM,N2,Unkn,CC_187_C,38.12712283,NaN
E20,FAM,N2,Unkn,CC_187_C,36.96925134,NaN
E21,FAM,N2,Unkn,CC_187_C,37.07815644,NaN
E22,FAM,BCOV,Unkn,CC_187_B,29.54351662,NaN
E23,FAM,BCOV,Unkn,CC_187_B,29.60028582,NaN
E24,FAM,BCOV,Unkn,CC_187_B,29.57887195,NaN
G01,FAM,N1,Unkn,NO_187_D,37.42648482,NaN
G02,FAM,N1,Unkn,NO_187_D,37.30140846,NaN
G03,FAM,N1,Unkn,NO_187_D,NaN,NaN
G05,FAM,N1,Unkn,MI_187_D,36.19628128,NaN
G06,FAM,N1,Unkn,MI_187_D,37.69941162,NaN
G07,FAM,N1,Unkn,MI_187_D,35.4554967,NaN
G09,FAM,N1,Unkn,CC_187_D,35.59495619,NaN
G10,FAM,N1,Unkn,CC_187_D,35.52483377,NaN
G11,FAM,N1,Unkn,CC_187_D,36.16193722,NaN
G13,FAM,N2,Unkn,NO_187_D,39.2387438,NaN
G14,FAM,N2,Unkn,NO_187_D,38.9814812,NaN
G15,FAM,N2,Unkn,NO_187_D,38.6772963,NaN
G16,FAM,N2,Unkn,MI_187_D,39.10061097,NaN
G17,FAM,N2,Unkn,MI_187_D,38.97491295,NaN
G18,FAM,N2,Unkn,MI_187_D,39.76300461,NaN
G19,FAM,N2,Unkn,CC_187_D,37.60289655,NaN
G20,FAM,N2,Unkn,CC_187_D,37.94893346,NaN
G21,FAM,N2,Unkn,CC_187_D,37.87700821,NaN
G22,FAM,BCOV,Unkn,CG_187,20.93065354,NaN
G23,FAM,BCOV,Unkn,CG_187,20.89493349,NaN
G24,FAM,BCOV,Unkn,CG_187,21.02736453,NaN
I01,FAM,N1,Unkn,NO_187_E,NaN,NaN
I02,FAM,N1,Unkn,NO_187_E,38.13738152,NaN
I03,FAM,N1,Unkn,NO_187_E,37.30003612,NaN
I05,FAM,N1,Unkn,MI_187_E,37.31889215,NaN
I06,FAM,N1,Unkn,MI_187_E,36.96268844,NaN
I07,FAM,N1,Unkn,MI_187_E,37.459665,NaN
I09,FAM,N1,Unkn,CC_187_E,35.27987204,NaN
I10,FAM,N1,Unkn,CC_187_E,35.33969043,NaN
I11,FAM,N1,Unkn,CC_187_E,35.66224703,NaN
I13,FAM,N2,Unkn,NO_187_E,NaN,NaN
I14,FAM,N2,Unkn,NO_187_E,NaN,NaN
I15,FAM,N2,Unkn,NO_187_E,39.91789564,NaN
I16,FAM,N2,Unkn,MI_187_E,37.79237727,NaN
I17,FAM,N2,Unkn,MI_187_E,38.11527838,NaN
I18,FAM,N2,Unkn,MI_187_E,37.78140866,NaN
I19,FAM,N2,Unkn,CC_187_E,37.15135695,NaN
I20,FAM,N2,Unkn,CC_187_E,37.34556172,NaN
I21,FAM,N2,Unkn,CC_187_E,37.55604407,NaN
I22,FAM,BCOV,Unkn,NO_RNA_187,4.587137758,NaN
I23,FAM,BCOV,Unkn,NO_RNA_187,5.608600745,NaN
I24,FAM,BCOV,Unkn,NO_RNA_187,3.122481433,NaN
K01,FAM,N1,Unkn,NO_187_F,38.89709871,NaN
K02,FAM,N1,Unkn,NO_187_F,NaN,NaN
K03,FAM,N1,Unkn,NO_187_F,36.89996946,NaN
K05,FAM,N1,Unkn,MI_187_F,36.8036817,NaN
K06,FAM,N1,Unkn,MI_187_F,37.78714969,NaN
K07,FAM,N1,Unkn,MI_187_F,35.86402803,NaN
K09,FAM,N1,Unkn,CC_187_F,35.13515124,NaN
K10,FAM,N1,Unkn,CC_187_F,35.43182835,NaN
K11,FAM,N1,Unkn,CC_187_F,35.82734411,NaN
K13,FAM,N2,Unkn,NO_187_F,NaN,NaN
K14,FAM,N2,Unkn,NO_187_F,NaN,NaN
K15,FAM,N2,Unkn,NO_187_F,NaN,NaN
K16,FAM,N2,Unkn,MI_187_F,37.70360086,NaN
K17,FAM,N2,Unkn,MI_187_F,38.20568898,NaN
K18,FAM,N2,Unkn,MI_187_F,38.91018062,NaN
K19,FAM,N2,Unkn,CC_187_F,37.01444915,NaN
K20,FAM,N2,Unkn,CC_187_F,37.32357513,NaN
K21,FAM,N2,Unkn,CC_187_F,38.04135502,NaN
K22,FAM,BCOV,Unkn,MI_RNA_187,5.295296209,NaN
K23,FAM,BCOV,Unkn,MI_RNA_187,4.23415301,NaN
K24,FAM,BCOV,Unkn,MI_RNA_187,5.216610676,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M05,FAM,N1,Unkn,SARS-CoV-2,18.56291146,NaN
M06,FAM,N1,Unkn,SARS-CoV-2,18.63210579,NaN
M07,FAM,N1,Unkn,SARS-CoV-2,18.54728755,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M16,FAM,N2,Unkn,SARS-CoV-2,19.43935465,NaN
M17,FAM,N2,Unkn,SARS-CoV-2,19.52626168,NaN
M18,FAM,N2,Unkn,SARS-CoV-2,19.54796899,NaN
M22,FAM,BCOV,Unkn,CC_RNA_187,5.135719782,NaN
M23,FAM,BCOV,Unkn,CC_RNA_187,3.12454315,NaN
M24,FAM,BCOV,Unkn,CC_RNA_187,5.12327083,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,18.82009027,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,18.79260737,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,18.79607412,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,20.19539175,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,19.56681951,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,19.49750059,NaN
O22,FAM,BCOV,Unkn,H2O_RNA_187,5.369844435,NaN
O23,FAM,BCOV,Unkn,H2O_RNA_187,5.124308801,NaN
O24,FAM,BCOV,Unkn,H2O_RNA_187,5.265252494,NaN
