Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_205_A,37.17462162,NaN
A02,FAM,N1,Unkn,NO_205_A,36.93046524,NaN
A03,FAM,N1,Unkn,NO_205_A,36.79453053,NaN
A05,FAM,N1,Unkn,MI_205_A,36.48251891,NaN
A06,FAM,N1,Unkn,MI_205_A,36.71886703,NaN
A07,FAM,N1,Unkn,MI_205_A,36.31168689,NaN
A09,FAM,N1,Unkn,CC_205_A,37.66209148,NaN
A10,FAM,N1,Unkn,CC_205_A,37.13182562,NaN
A11,FAM,N1,Unkn,CC_205_A,36.04468119,NaN
A13,FAM,N2,Unkn,NO_205_A,NaN,NaN
A14,FAM,N2,Unkn,NO_205_A,39.39644517,NaN
A15,FAM,N2,Unkn,NO_205_A,38.90533188,NaN
A16,FAM,N2,Unkn,MI_205_A,NaN,NaN
A17,FAM,N2,Unkn,MI_205_A,38.41291825,NaN
A18,FAM,N2,Unkn,MI_205_A,38.47488491,NaN
A19,FAM,N2,Unkn,CC_205_A,36.87875504,NaN
A20,FAM,N2,Unkn,CC_205_A,36.87287745,NaN
A21,FAM,N2,Unkn,CC_205_A,37.1864255,NaN
A22,FAM,BCOV,Unkn,NO_205_B,29.49143313,NaN
A23,FAM,BCOV,Unkn,NO_205_B,29.45727539,NaN
A24,FAM,BCOV,Unkn,NO_205_B,29.8159059,NaN
C01,FAM,N1,Unkn,NO_205_B,37.25806953,NaN
C02,FAM,N1,Unkn,NO_205_B,36.81743818,NaN
C03,FAM,N1,Unkn,NO_205_B,36.30514689,NaN
C05,FAM,N1,Unkn,MI_205_B,36.41493202,NaN
C06,FAM,N1,Unkn,MI_205_B,36.8459449,NaN
C07,FAM,N1,Unkn,MI_205_B,35.80818978,NaN
C09,FAM,N1,Unkn,CC_205_B,37.51652943,NaN
C10,FAM,N1,Unkn,CC_205_B,36.12114858,NaN
C11,FAM,N1,Unkn,CC_205_B,36.47226876,NaN
C13,FAM,N2,Unkn,NO_205_B,39.85788825,NaN
C14,FAM,N2,Unkn,NO_205_B,NaN,NaN
C15,FAM,N2,Unkn,NO_205_B,39.64376875,NaN
C16,FAM,N2,Unkn,MI_205_B,38.45913124,NaN
C17,FAM,N2,Unkn,MI_205_B,38.1394587,NaN
C18,FAM,N2,Unkn,MI_205_B,38.01927202,NaN
C19,FAM,N2,Unkn,CC_205_B,37.41822301,NaN
C20,FAM,N2,Unkn,CC_205_B,38.17576155,NaN
C21,FAM,N2,Unkn,CC_205_B,37.74771878,NaN
C22,FAM,BCOV,Unkn,MI_205_B,29.4729011,NaN
C23,FAM,BCOV,Unkn,MI_205_B,29.36432458,NaN
C24,FAM,BCOV,Unkn,MI_205_B,29.34768677,NaN
E01,FAM,N1,Unkn,NO_205_C,37.27920109,NaN
E02,FAM,N1,Unkn,NO_205_C,38.22877405,NaN
E03,FAM,N1,Unkn,NO_205_C,38.77172671,NaN
E05,FAM,N1,Unkn,MI_205_C,36.2491662,NaN
E06,FAM,N1,Unkn,MI_205_C,35.00762256,NaN
E07,FAM,N1,Unkn,MI_205_C,35.78915752,NaN
E09,FAM,N1,Unkn,CC_205_C,36.18239026,NaN
E10,FAM,N1,Unkn,CC_205_C,36.05226591,NaN
E11,FAM,N1,Unkn,CC_205_C,36.44194639,NaN
E13,FAM,N2,Unkn,NO_205_C,39.36817931,NaN
E14,FAM,N2,Unkn,NO_205_C,38.1222078,NaN
E15,FAM,N2,Unkn,NO_205_C,38.8246433,NaN
E16,FAM,N2,Unkn,MI_205_C,37.72770223,NaN
E17,FAM,N2,Unkn,MI_205_C,37.55651984,NaN
E18,FAM,N2,Unkn,MI_205_C,39.14121524,NaN
E19,FAM,N2,Unkn,CC_205_C,38.00445723,NaN
E20,FAM,N2,Unkn,CC_205_C,37.36202187,NaN
E21,FAM,N2,Unkn,CC_205_C,36.91925599,NaN
E22,FAM,BCOV,Unkn,CC_205_B,29.39221027,NaN
E23,FAM,BCOV,Unkn,CC_205_B,29.51174052,NaN
E24,FAM,BCOV,Unkn,CC_205_B,29.0651469,NaN
G01,FAM,N1,Unkn,NO_205_D,37.45470427,NaN
G02,FAM,N1,Unkn,NO_205_D,36.29464556,NaN
G03,FAM,N1,Unkn,NO_205_D,37.40074548,NaN
G05,FAM,N1,Unkn,MI_205_D,36.40442124,NaN
G06,FAM,N1,Unkn,MI_205_D,36.7345311,NaN
G07,FAM,N1,Unkn,MI_205_D,37.90757042,NaN
G09,FAM,N1,Unkn,CC_205_D,35.08853346,NaN
G10,FAM,N1,Unkn,CC_205_D,35.632132,NaN
G11,FAM,N1,Unkn,CC_205_D,36.4619489,NaN
G13,FAM,N2,Unkn,NO_205_D,39.92891985,NaN
G14,FAM,N2,Unkn,NO_205_D,38.48267661,NaN
G15,FAM,N2,Unkn,NO_205_D,38.84668873,NaN
G16,FAM,N2,Unkn,MI_205_D,39.53532502,NaN
G17,FAM,N2,Unkn,MI_205_D,37.39501008,NaN
G18,FAM,N2,Unkn,MI_205_D,37.09025484,NaN
G19,FAM,N2,Unkn,CC_205_D,37.84910063,NaN
G20,FAM,N2,Unkn,CC_205_D,36.93837659,NaN
G21,FAM,N2,Unkn,CC_205_D,36.95428252,NaN
G22,FAM,BCOV,Unkn,CG_205,19.98281204,NaN
G23,FAM,BCOV,Unkn,CG_205,20.020455,NaN
G24,FAM,BCOV,Unkn,CG_205,20.16295923,NaN
I01,FAM,N1,Unkn,NO_205_E,37.34645741,NaN
I02,FAM,N1,Unkn,NO_205_E,37.6090809,NaN
I03,FAM,N1,Unkn,NO_205_E,36.09653669,NaN
I05,FAM,N1,Unkn,MI_205_E,36.05708978,NaN
I06,FAM,N1,Unkn,MI_205_E,36.76828171,NaN
I07,FAM,N1,Unkn,MI_205_E,36.15386108,NaN
I09,FAM,N1,Unkn,CC_205_E,35.52916161,NaN
I10,FAM,N1,Unkn,CC_205_E,36.28172348,NaN
I11,FAM,N1,Unkn,CC_205_E,35.89406009,NaN
I13,FAM,N2,Unkn,NO_205_E,38.67978985,NaN
I14,FAM,N2,Unkn,NO_205_E,38.2713823,NaN
I15,FAM,N2,Unkn,NO_205_E,37.52493779,NaN
I16,FAM,N2,Unkn,MI_205_E,37.25522834,NaN
I17,FAM,N2,Unkn,MI_205_E,38.47683684,NaN
I18,FAM,N2,Unkn,MI_205_E,38.20743039,NaN
I19,FAM,N2,Unkn,CC_205_E,37.94005822,NaN
I20,FAM,N2,Unkn,CC_205_E,36.9794923,NaN
I21,FAM,N2,Unkn,CC_205_E,37.56884946,NaN
I22,FAM,BCOV,Unkn,NO_RNA_205,7.777812826,NaN
I23,FAM,BCOV,Unkn,NO_RNA_205,8.72908967,NaN
I24,FAM,BCOV,Unkn,NO_RNA_205,8.984112061,NaN
K01,FAM,N1,Unkn,NO_205_F,NaN,NaN
K02,FAM,N1,Unkn,NO_205_F,36.05076066,NaN
K03,FAM,N1,Unkn,NO_205_F,38.04380877,NaN
K05,FAM,N1,Unkn,MI_205_F,36.15048903,NaN
K06,FAM,N1,Unkn,MI_205_F,37.77767992,NaN
K07,FAM,N1,Unkn,MI_205_F,37.11748744,NaN
K09,FAM,N1,Unkn,CC_205_F,37.34790919,NaN
K10,FAM,N1,Unkn,CC_205_F,36.26762661,NaN
K11,FAM,N1,Unkn,CC_205_F,36.81734779,NaN
K13,FAM,N2,Unkn,NO_205_F,39.62415892,NaN
K14,FAM,N2,Unkn,NO_205_F,38.56517488,NaN
K15,FAM,N2,Unkn,NO_205_F,NaN,NaN
K16,FAM,N2,Unkn,MI_205_F,38.89626483,NaN
K17,FAM,N2,Unkn,MI_205_F,38.22340191,NaN
K18,FAM,N2,Unkn,MI_205_F,38.29836386,NaN
K19,FAM,N2,Unkn,CC_205_F,38.81364353,NaN
K20,FAM,N2,Unkn,CC_205_F,38.29765634,NaN
K21,FAM,N2,Unkn,CC_205_F,37.61773624,NaN
K22,FAM,BCOV,Unkn,MI_RNA_205,8.035227886,NaN
K23,FAM,BCOV,Unkn,MI_RNA_205,8.697988568,NaN
K24,FAM,BCOV,Unkn,MI_RNA_205,10.79892748,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M22,FAM,BCOV,Unkn,CC_RNA_205,8.345695609,NaN
M23,FAM,BCOV,Unkn,CC_RNA_205,8.57234584,NaN
M24,FAM,BCOV,Unkn,CC_RNA_205,8.602775859,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,20.01854119,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,19.89175099,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,19.91529758,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,20.45983768,NaN
