Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
B01,FAM,N1,Unkn,NO_223_A,38.18427117,NaN
B02,FAM,N1,Unkn,NO_223_A,36.41026937,NaN
B03,FAM,N1,Unkn,NO_223_A,NaN,NaN
B05,FAM,N1,Unkn,MI_223_A,38.27714404,NaN
B06,FAM,N1,Unkn,MI_223_A,35.2328857,NaN
B07,FAM,N1,Unkn,MI_223_A,34.43900214,NaN
B09,FAM,N1,Unkn,CC_223_A,38.15470263,NaN
B10,FAM,N1,Unkn,CC_223_A,36.41918278,NaN
B11,FAM,N1,Unkn,CC_223_A,37.34995089,NaN
B13,FAM,N2,Unkn,NO_223_A,39.52825761,NaN
B14,FAM,N2,Unkn,NO_223_A,NaN,NaN
B15,FAM,N2,Unkn,NO_223_A,39.43659417,NaN
B16,FAM,N2,Unkn,MI_223_A,37.81138378,NaN
B17,FAM,N2,Unkn,MI_223_A,38.37773327,NaN
B18,FAM,N2,Unkn,MI_223_A,39.7646098,NaN
B19,FAM,N2,Unkn,CC_223_A,37.47218892,NaN
B20,FAM,N2,Unkn,CC_223_A,38.59697407,NaN
B21,FAM,N2,Unkn,CC_223_A,38.55529411,NaN
B22,FAM,BCOV,Unkn,NO_223_B,28.44424244,NaN
B23,FAM,BCOV,Unkn,NO_223_B,28.47037431,NaN
B24,FAM,BCOV,Unkn,NO_223_B,28.98531851,NaN
D01,FAM,N1,Unkn,NO_223_B,NaN,NaN
D02,FAM,N1,Unkn,NO_223_B,NaN,NaN
D03,FAM,N1,Unkn,NO_223_B,38.13330868,NaN
D05,FAM,N1,Unkn,MI_223_B,35.95810607,NaN
D06,FAM,N1,Unkn,MI_223_B,37.23840546,NaN
D07,FAM,N1,Unkn,MI_223_B,37.30830802,NaN
D09,FAM,N1,Unkn,CC_223_B,37.80689605,NaN
D10,FAM,N1,Unkn,CC_223_B,38.66456628,NaN
D11,FAM,N1,Unkn,CC_223_B,35.38185894,NaN
D13,FAM,N2,Unkn,NO_223_B,NaN,NaN
D14,FAM,N2,Unkn,NO_223_B,39.87308597,NaN
D15,FAM,N2,Unkn,NO_223_B,NaN,NaN
D16,FAM,N2,Unkn,MI_223_B,NaN,NaN
D17,FAM,N2,Unkn,MI_223_B,NaN,NaN
D18,FAM,N2,Unkn,MI_223_B,NaN,NaN
D19,FAM,N2,Unkn,CC_223_B,37.06045042,NaN
D20,FAM,N2,Unkn,CC_223_B,37.21827283,NaN
D21,FAM,N2,Unkn,CC_223_B,37.8090305,NaN
D22,FAM,BCOV,Unkn,MI_223_B,28.76237088,NaN
D23,FAM,BCOV,Unkn,MI_223_B,28.78941855,NaN
D24,FAM,BCOV,Unkn,MI_223_B,29.23339371,NaN
F01,FAM,N1,Unkn,NO_223_C,NaN,NaN
F02,FAM,N1,Unkn,NO_223_C,38.19247102,NaN
F03,FAM,N1,Unkn,NO_223_C,36.78348782,NaN
F05,FAM,N1,Unkn,MI_223_C,36.90834083,NaN
F06,FAM,N1,Unkn,MI_223_C,37.37399958,NaN
F07,FAM,N1,Unkn,MI_223_C,36.44108124,NaN
F09,FAM,N1,Unkn,CC_223_C,36.57902026,NaN
F10,FAM,N1,Unkn,CC_223_C,38.57802523,NaN
F11,FAM,N1,Unkn,CC_223_C,37.50243741,NaN
F13,FAM,N2,Unkn,NO_223_C,38.43156433,NaN
F14,FAM,N2,Unkn,NO_223_C,NaN,NaN
F15,FAM,N2,Unkn,NO_223_C,37.55580779,NaN
F16,FAM,N2,Unkn,MI_223_C,37.64994315,NaN
F17,FAM,N2,Unkn,MI_223_C,39.38441607,NaN
F18,FAM,N2,Unkn,MI_223_C,NaN,NaN
F19,FAM,N2,Unkn,CC_223_C,37.19159443,NaN
F20,FAM,N2,Unkn,CC_223_C,37.12383807,NaN
F21,FAM,N2,Unkn,CC_223_C,36.74632507,NaN
F22,FAM,BCOV,Unkn,CC_223_B,28.31291013,NaN
F23,FAM,BCOV,Unkn,CC_223_B,28.2346207,NaN
F24,FAM,BCOV,Unkn,CC_223_B,28.62598628,NaN
H01,FAM,N1,Unkn,NO_223_D,NaN,NaN
H02,FAM,N1,Unkn,NO_223_D,38.15788201,NaN
H03,FAM,N1,Unkn,NO_223_D,37.09801501,NaN
H05,FAM,N1,Unkn,MI_223_D,NaN,NaN
H06,FAM,N1,Unkn,MI_223_D,NaN,NaN
H07,FAM,N1,Unkn,MI_223_D,38.06474716,NaN
H09,FAM,N1,Unkn,CC_223_D,36.3782687,NaN
H10,FAM,N1,Unkn,CC_223_D,36.27243966,NaN
H11,FAM,N1,Unkn,CC_223_D,36.78979675,NaN
H13,FAM,N2,Unkn,NO_223_D,38.97346454,NaN
H14,FAM,N2,Unkn,NO_223_D,NaN,NaN
H15,FAM,N2,Unkn,NO_223_D,NaN,NaN
H16,FAM,N2,Unkn,MI_223_D,39.35449912,NaN
H17,FAM,N2,Unkn,MI_223_D,39.3057893,NaN
H18,FAM,N2,Unkn,MI_223_D,39.23850531,NaN
H19,FAM,N2,Unkn,CC_223_D,36.33064754,NaN
H20,FAM,N2,Unkn,CC_223_D,37.22881966,NaN
H21,FAM,N2,Unkn,CC_223_D,36.64853781,NaN
H22,FAM,BCOV,Unkn,CG_223,19.5930911,NaN
H23,FAM,BCOV,Unkn,CG_223,19.53134543,NaN
H24,FAM,BCOV,Unkn,CG_223,19.79634906,NaN
J01,FAM,N1,Unkn,NO_223_E,NaN,NaN
J02,FAM,N1,Unkn,NO_223_E,NaN,NaN
J03,FAM,N1,Unkn,NO_223_E,38.15785566,NaN
J05,FAM,N1,Unkn,MI_223_E,37.33539294,NaN
J06,FAM,N1,Unkn,MI_223_E,38.13984648,NaN
J07,FAM,N1,Unkn,MI_223_E,36.70243734,NaN
J09,FAM,N1,Unkn,CC_223_E,36.91757489,NaN
J10,FAM,N1,Unkn,CC_223_E,35.07089968,NaN
J11,FAM,N1,Unkn,CC_223_E,36.78205835,NaN
J13,FAM,N2,Unkn,NO_223_E,38.5149024,NaN
J14,FAM,N2,Unkn,NO_223_E,38.65389563,NaN
J15,FAM,N2,Unkn,NO_223_E,39.42933171,NaN
J16,FAM,N2,Unkn,MI_223_E,39.74165462,NaN
J17,FAM,N2,Unkn,MI_223_E,39.98972206,NaN
J18,FAM,N2,Unkn,MI_223_E,38.74853703,NaN
J19,FAM,N2,Unkn,CC_223_E,37.14739229,NaN
J20,FAM,N2,Unkn,CC_223_E,NaN,NaN
J21,FAM,N2,Unkn,CC_223_E,37.36862335,NaN
J22,FAM,BCOV,Unkn,NO_RNA_223,7.40754916,NaN
J23,FAM,BCOV,Unkn,NO_RNA_223,7.613595908,NaN
J24,FAM,BCOV,Unkn,NO_RNA_223,7.867576308,NaN
L01,FAM,N1,Unkn,NO_223_F,NaN,NaN
L02,FAM,N1,Unkn,NO_223_F,38.59090557,NaN
L03,FAM,N1,Unkn,NO_223_F,37.19976529,NaN
L05,FAM,N1,Unkn,MI_223_F,NaN,NaN
L06,FAM,N1,Unkn,MI_223_F,36.16620571,NaN
L07,FAM,N1,Unkn,MI_223_F,37.5585452,NaN
L09,FAM,N1,Unkn,CC_223_F,38.06562062,NaN
L10,FAM,N1,Unkn,CC_223_F,35.43587241,NaN
L11,FAM,N1,Unkn,CC_223_F,37.27524729,NaN
L13,FAM,N2,Unkn,NO_223_F,NaN,NaN
L14,FAM,N2,Unkn,NO_223_F,39.55550091,NaN
L15,FAM,N2,Unkn,NO_223_F,NaN,NaN
L16,FAM,N2,Unkn,MI_223_F,NaN,NaN
L17,FAM,N2,Unkn,MI_223_F,NaN,NaN
L18,FAM,N2,Unkn,MI_223_F,39.44956996,NaN
L19,FAM,N2,Unkn,CC_223_F,NaN,NaN
L20,FAM,N2,Unkn,CC_223_F,36.86789405,NaN
L21,FAM,N2,Unkn,CC_223_F,37.27329285,NaN
L22,FAM,BCOV,Unkn,MI_RNA_223,7.935417068,NaN
L23,FAM,BCOV,Unkn,MI_RNA_223,7.833367439,NaN
L24,FAM,BCOV,Unkn,MI_RNA_223,6.084163032,NaN
N01,FAM,N1,Unkn,BLANK_223,NaN,NaN
N02,FAM,N1,Unkn,BLANK_223,NaN,NaN
N03,FAM,N1,Unkn,BLANK_223,37.48287711,NaN
N13,FAM,N2,Unkn,BLANK_223,NaN,NaN
N14,FAM,N2,Unkn,BLANK_223,39.54434599,NaN
N15,FAM,N2,Unkn,BLANK_223,39.84743368,NaN
N22,FAM,BCOV,Unkn,CC_RNA_223,7.667434864,NaN
N23,FAM,BCOV,Unkn,CC_RNA_223,6.490143455,NaN
N24,FAM,BCOV,Unkn,CC_RNA_223,8.177864477,NaN
P01,FAM,N1,Unkn,SARS-CoV-2_223,17.30974341,NaN
P02,FAM,N1,Unkn,SARS-CoV-2_223,17.23389377,NaN
P03,FAM,N1,Unkn,SARS-CoV-2_223,17.34936526,NaN
P13,FAM,N2,Unkn,SARS-CoV-2_223,18.29828943,NaN
P14,FAM,N2,Unkn,SARS-CoV-2_223,18.22928875,NaN
P15,FAM,N2,Unkn,SARS-CoV-2_223,18.23871719,NaN
P22,FAM,BCOV,Unkn,H2O_RNA_223,7.684421705,NaN
P23,FAM,BCOV,Unkn,H2O_RNA_223,8.135971433,NaN
P24,FAM,BCOV,Unkn,H2O_RNA_223,8.142251728,NaN
