Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_190_A,37.78607523,NaN
A02,FAM,N1,Unkn,NO_190_A,39.14712251,NaN
A03,FAM,N1,Unkn,NO_190_A,36.79362762,NaN
A05,FAM,N1,Unkn,MI_190_A,36.25562724,NaN
A06,FAM,N1,Unkn,MI_190_A,36.25155473,NaN
A07,FAM,N1,Unkn,MI_190_A,36.75158586,NaN
A09,FAM,N1,Unkn,CC_190_A,37.17139778,NaN
A10,FAM,N1,Unkn,CC_190_A,36.65730858,NaN
A11,FAM,N1,Unkn,CC_190_A,36.9007645,NaN
A13,FAM,N2,Unkn,NO_190_A,NaN,NaN
A14,FAM,N2,Unkn,NO_190_A,NaN,NaN
A15,FAM,N2,Unkn,NO_190_A,NaN,NaN
A16,FAM,N2,Unkn,MI_190_A,39.00576535,NaN
A17,FAM,N2,Unkn,MI_190_A,38.31147339,NaN
A18,FAM,N2,Unkn,MI_190_A,39.71424451,NaN
A19,FAM,N2,Unkn,CC_190_A,38.02192676,NaN
A20,FAM,N2,Unkn,CC_190_A,38.48757334,NaN
A21,FAM,N2,Unkn,CC_190_A,38.54017591,NaN
A22,FAM,BCOV,Unkn,NO_190_B,29.98450561,NaN
A23,FAM,BCOV,Unkn,NO_190_B,30.03922519,NaN
A24,FAM,BCOV,Unkn,NO_190_B,29.78965999,NaN
C01,FAM,N1,Unkn,NO_190_B,36.56721716,NaN
C02,FAM,N1,Unkn,NO_190_B,38.0347275,NaN
C03,FAM,N1,Unkn,NO_190_B,36.98550141,NaN
C05,FAM,N1,Unkn,MI_190_B,37.95964674,NaN
C06,FAM,N1,Unkn,MI_190_B,36.45810796,NaN
C07,FAM,N1,Unkn,MI_190_B,37.39687613,NaN
C09,FAM,N1,Unkn,CC_190_B,36.11819778,NaN
C10,FAM,N1,Unkn,CC_190_B,38.11254316,NaN
C11,FAM,N1,Unkn,CC_190_B,37.26183262,NaN
C13,FAM,N2,Unkn,NO_190_B,38.23137828,NaN
C14,FAM,N2,Unkn,NO_190_B,38.09210421,NaN
C15,FAM,N2,Unkn,NO_190_B,38.35775549,NaN
C16,FAM,N2,Unkn,MI_190_B,NaN,NaN
C17,FAM,N2,Unkn,MI_190_B,38.09453277,NaN
C18,FAM,N2,Unkn,MI_190_B,39.52967573,NaN
C19,FAM,N2,Unkn,CC_190_B,38.60058055,NaN
C20,FAM,N2,Unkn,CC_190_B,38.81599547,NaN
C21,FAM,N2,Unkn,CC_190_B,39.31870439,NaN
C22,FAM,BCOV,Unkn,MI_190_B,29.91248811,NaN
C23,FAM,BCOV,Unkn,MI_190_B,29.98065303,NaN
C24,FAM,BCOV,Unkn,MI_190_B,29.98722896,NaN
E01,FAM,N1,Unkn,NO_190_C,37.72065213,NaN
E02,FAM,N1,Unkn,NO_190_C,37.57846994,NaN
E03,FAM,N1,Unkn,NO_190_C,37.23586421,NaN
E05,FAM,N1,Unkn,MI_190_C,33.79576405,NaN
E06,FAM,N1,Unkn,MI_190_C,33.08941881,NaN
E07,FAM,N1,Unkn,MI_190_C,33.19348504,NaN
E09,FAM,N1,Unkn,CC_190_C,36.23644405,NaN
E10,FAM,N1,Unkn,CC_190_C,35.32954769,NaN
E11,FAM,N1,Unkn,CC_190_C,35.34864973,NaN
E13,FAM,N2,Unkn,NO_190_C,38.77992481,NaN
E14,FAM,N2,Unkn,NO_190_C,39.96990513,NaN
E15,FAM,N2,Unkn,NO_190_C,NaN,NaN
E16,FAM,N2,Unkn,MI_190_C,35.29887607,NaN
E17,FAM,N2,Unkn,MI_190_C,34.74904679,NaN
E18,FAM,N2,Unkn,MI_190_C,35.36378152,NaN
E19,FAM,N2,Unkn,CC_190_C,37.82612344,NaN
E20,FAM,N2,Unkn,CC_190_C,39.09492445,NaN
E21,FAM,N2,Unkn,CC_190_C,38.65813155,NaN
E22,FAM,BCOV,Unkn,CC_190_B,30.00491099,NaN
E23,FAM,BCOV,Unkn,CC_190_B,30.05507236,NaN
E24,FAM,BCOV,Unkn,CC_190_B,29.96927908,NaN
G01,FAM,N1,Unkn,NO_190_D,37.56898051,NaN
G02,FAM,N1,Unkn,NO_190_D,38.17124373,NaN
G03,FAM,N1,Unkn,NO_190_D,39.04649879,NaN
G05,FAM,N1,Unkn,MI_190_D,36.27189726,NaN
G06,FAM,N1,Unkn,MI_190_D,36.65757732,NaN
G07,FAM,N1,Unkn,MI_190_D,37.39648655,NaN
G09,FAM,N1,Unkn,CC_190_D,36.68827349,NaN
G10,FAM,N1,Unkn,CC_190_D,36.15925533,NaN
G11,FAM,N1,Unkn,CC_190_D,36.5543669,NaN
G13,FAM,N2,Unkn,NO_190_D,38.60945959,NaN
G14,FAM,N2,Unkn,NO_190_D,39.92567719,NaN
G15,FAM,N2,Unkn,NO_190_D,38.4462397,NaN
G16,FAM,N2,Unkn,MI_190_D,38.31723028,NaN
G17,FAM,N2,Unkn,MI_190_D,39.10599634,NaN
G18,FAM,N2,Unkn,MI_190_D,NaN,NaN
G19,FAM,N2,Unkn,CC_190_D,38.40845542,NaN
G20,FAM,N2,Unkn,CC_190_D,38.33501495,NaN
G21,FAM,N2,Unkn,CC_190_D,37.38032128,NaN
G22,FAM,BCOV,Unkn,CG_190,20.60871298,NaN
G23,FAM,BCOV,Unkn,CG_190,20.5791545,NaN
G24,FAM,BCOV,Unkn,CG_190,20.60005809,NaN
I01,FAM,N1,Unkn,NO_190_E,36.82121277,NaN
I02,FAM,N1,Unkn,NO_190_E,37.52274796,NaN
I03,FAM,N1,Unkn,NO_190_E,37.58116797,NaN
I05,FAM,N1,Unkn,MI_190_E,37.41343167,NaN
I06,FAM,N1,Unkn,MI_190_E,37.43750601,NaN
I07,FAM,N1,Unkn,MI_190_E,37.19079162,NaN
I09,FAM,N1,Unkn,CC_190_E,36.59425636,NaN
I10,FAM,N1,Unkn,CC_190_E,35.24127918,NaN
I11,FAM,N1,Unkn,CC_190_E,37.03485664,NaN
I13,FAM,N2,Unkn,NO_190_E,NaN,NaN
I14,FAM,N2,Unkn,NO_190_E,NaN,NaN
I15,FAM,N2,Unkn,NO_190_E,38.54050623,NaN
I16,FAM,N2,Unkn,MI_190_E,39.00377741,NaN
I17,FAM,N2,Unkn,MI_190_E,38.75387019,NaN
I18,FAM,N2,Unkn,MI_190_E,38.73908375,NaN
I19,FAM,N2,Unkn,CC_190_E,39.53305506,NaN
I20,FAM,N2,Unkn,CC_190_E,38.76268275,NaN
I21,FAM,N2,Unkn,CC_190_E,39.12448413,NaN
I22,FAM,BCOV,Unkn,NO_RNA_190,4.352925513,NaN
I23,FAM,BCOV,Unkn,NO_RNA_190,4.234813165,NaN
I24,FAM,BCOV,Unkn,NO_RNA_190,4.619740389,NaN
K01,FAM,N1,Unkn,NO_190_F,37.10117279,NaN
K02,FAM,N1,Unkn,NO_190_F,36.32317252,NaN
K03,FAM,N1,Unkn,NO_190_F,38.04062407,NaN
K05,FAM,N1,Unkn,MI_190_F,36.18452858,NaN
K06,FAM,N1,Unkn,MI_190_F,37.15985584,NaN
K07,FAM,N1,Unkn,MI_190_F,37.11250923,NaN
K09,FAM,N1,Unkn,CC_190_F,36.96423841,NaN
K10,FAM,N1,Unkn,CC_190_F,37.42202682,NaN
K11,FAM,N1,Unkn,CC_190_F,37.51395132,NaN
K13,FAM,N2,Unkn,NO_190_F,NaN,NaN
K14,FAM,N2,Unkn,NO_190_F,38.36336174,NaN
K15,FAM,N2,Unkn,NO_190_F,38.1783974,NaN
K16,FAM,N2,Unkn,MI_190_F,39.0838012,NaN
K17,FAM,N2,Unkn,MI_190_F,38.95609429,NaN
K18,FAM,N2,Unkn,MI_190_F,38.60434567,NaN
K19,FAM,N2,Unkn,CC_190_F,38.5783423,NaN
K20,FAM,N2,Unkn,CC_190_F,NaN,NaN
K21,FAM,N2,Unkn,CC_190_F,39.29078079,NaN
K22,FAM,BCOV,Unkn,MI_RNA_190,4.356883785,NaN
K23,FAM,BCOV,Unkn,MI_RNA_190,3.602109656,NaN
K24,FAM,BCOV,Unkn,MI_RNA_190,4.23768735,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M05,FAM,N1,Unkn,SARS-CoV-2,19.14763527,NaN
M06,FAM,N1,Unkn,SARS-CoV-2,19.18614138,NaN
M07,FAM,N1,Unkn,SARS-CoV-2,19.08838706,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M16,FAM,N2,Unkn,SARS-CoV-2,21.21778287,NaN
M17,FAM,N2,Unkn,SARS-CoV-2,21.04732783,NaN
M18,FAM,N2,Unkn,SARS-CoV-2,21.30059249,NaN
M22,FAM,BCOV,Unkn,CC_RNA_190,3.20674988,NaN
M23,FAM,BCOV,Unkn,CC_RNA_190,4.159214249,NaN
M24,FAM,BCOV,Unkn,CC_RNA_190,4.53905122,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,19.14708604,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,19.17713695,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,19.09438272,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,21.33773301,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,21.30908625,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,21.30599551,NaN
O22,FAM,BCOV,Unkn,H2O_RNA_190,3.442108108,NaN
O23,FAM,BCOV,Unkn,H2O_RNA_190,4.28190656,NaN
O24,FAM,BCOV,Unkn,H2O_RNA_190,4.63249993,NaN
