Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_234_A,36.62107887,NaN
A02,FAM,N1,Unkn,NO_234_A,37.29525799,NaN
A03,FAM,N1,Unkn,NO_234_A,37.36082166,NaN
A05,FAM,N1,Unkn,MI_234_A,36.55326836,NaN
A06,FAM,N1,Unkn,MI_234_A,37.67478895,NaN
A07,FAM,N1,Unkn,MI_234_A,37.62641789,NaN
A09,FAM,N1,Unkn,CC_234_G,37.11226265,NaN
A10,FAM,N1,Unkn,CC_234_G,38.91268637,NaN
A11,FAM,N1,Unkn,CC_234_G,38.53165351,NaN
A13,FAM,N2,Unkn,NO_234_A,38.56823307,NaN
A14,FAM,N2,Unkn,NO_234_A,38.51728783,NaN
A15,FAM,N2,Unkn,NO_234_A,39.71393898,NaN
A16,FAM,N2,Unkn,MI_234_A,38.41346017,NaN
A17,FAM,N2,Unkn,MI_234_A,38.38625606,NaN
A18,FAM,N2,Unkn,MI_234_A,38.28688451,NaN
A19,FAM,N2,Unkn,CC_234_G,39.39374374,NaN
A20,FAM,N2,Unkn,CC_234_G,NaN,NaN
A21,FAM,N2,Unkn,CC_234_G,NaN,NaN
A22,FAM,BCOV,Unkn,NO_234_B,29.28884046,NaN
A23,FAM,BCOV,Unkn,NO_234_B,29.35763854,NaN
A24,FAM,BCOV,Unkn,NO_234_B,29.23348613,NaN
C01,FAM,N1,Unkn,NO_234_B,NaN,NaN
C02,FAM,N1,Unkn,NO_234_B,38.07154318,NaN
C03,FAM,N1,Unkn,NO_234_B,37.50351208,NaN
C05,FAM,N1,Unkn,MI_234_B,36.85667149,NaN
C06,FAM,N1,Unkn,MI_234_B,37.21153541,NaN
C07,FAM,N1,Unkn,MI_234_B,37.38635982,NaN
C09,FAM,N1,Unkn,CC_234_B,37.1324447,NaN
C10,FAM,N1,Unkn,CC_234_B,37.54207234,NaN
C11,FAM,N1,Unkn,CC_234_B,38.56570576,NaN
C13,FAM,N2,Unkn,NO_234_B,NaN,NaN
C14,FAM,N2,Unkn,NO_234_B,NaN,NaN
C15,FAM,N2,Unkn,NO_234_B,NaN,NaN
C16,FAM,N2,Unkn,MI_234_B,37.64451948,NaN
C17,FAM,N2,Unkn,MI_234_B,37.3218059,NaN
C18,FAM,N2,Unkn,MI_234_B,NaN,NaN
C19,FAM,N2,Unkn,CC_234_B,39.93856111,NaN
C20,FAM,N2,Unkn,CC_234_B,39.83218118,NaN
C21,FAM,N2,Unkn,CC_234_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_234_B,28.78830383,NaN
C23,FAM,BCOV,Unkn,MI_234_B,28.93682671,NaN
C24,FAM,BCOV,Unkn,MI_234_B,28.87453919,NaN
E01,FAM,N1,Unkn,NO_234_C,38.29467549,NaN
E02,FAM,N1,Unkn,NO_234_C,37.632902,NaN
E03,FAM,N1,Unkn,NO_234_C,38.8780714,NaN
E05,FAM,N1,Unkn,MI_234_C,35.73431039,NaN
E06,FAM,N1,Unkn,MI_234_C,36.8131498,NaN
E07,FAM,N1,Unkn,MI_234_C,38.92675161,NaN
E09,FAM,N1,Unkn,CC_234_C,NaN,NaN
E10,FAM,N1,Unkn,CC_234_C,36.04313376,NaN
E11,FAM,N1,Unkn,CC_234_C,37.51495356,NaN
E13,FAM,N2,Unkn,NO_234_C,NaN,NaN
E14,FAM,N2,Unkn,NO_234_C,NaN,NaN
E15,FAM,N2,Unkn,NO_234_C,39.90013668,NaN
E16,FAM,N2,Unkn,MI_234_C,36.9553974,NaN
E17,FAM,N2,Unkn,MI_234_C,NaN,NaN
E18,FAM,N2,Unkn,MI_234_C,36.91095347,NaN
E19,FAM,N2,Unkn,CC_234_C,NaN,NaN
E20,FAM,N2,Unkn,CC_234_C,37.16905725,NaN
E21,FAM,N2,Unkn,CC_234_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_234_B,28.99979141,NaN
E23,FAM,BCOV,Unkn,CC_234_B,28.97871319,NaN
E24,FAM,BCOV,Unkn,CC_234_B,28.9258749,NaN
G01,FAM,N1,Unkn,NO_234_D,37.43886729,NaN
G02,FAM,N1,Unkn,NO_234_D,38.72154116,NaN
G03,FAM,N1,Unkn,NO_234_D,38.47342466,NaN
G05,FAM,N1,Unkn,MI_234_D,37.52139435,NaN
