Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_182_A,38.18325147,NaN
A02,FAM,N1,Unkn,NO_182_A,36.42106289,NaN
A03,FAM,N1,Unkn,NO_182_A,37.13205333,NaN
A05,FAM,N1,Unkn,MI_182_A,36.0894089,NaN
A06,FAM,N1,Unkn,MI_182_A,35.97449469,NaN
A07,FAM,N1,Unkn,MI_182_A,36.61484588,NaN
A09,FAM,N1,Unkn,CC_182_A,35.12887817,NaN
A10,FAM,N1,Unkn,CC_182_A,35.06538305,NaN
A11,FAM,N1,Unkn,CC_182_A,36.03621916,NaN
A13,FAM,N2,Unkn,NO_182_A,NaN,NaN
A14,FAM,N2,Unkn,NO_182_A,NaN,NaN
A15,FAM,N2,Unkn,NO_182_A,NaN,NaN
A16,FAM,N2,Unkn,MI_182_A,NaN,NaN
A17,FAM,N2,Unkn,MI_182_A,NaN,NaN
A18,FAM,N2,Unkn,MI_182_A,NaN,NaN
A19,FAM,N2,Unkn,CC_182_A,39.51694208,NaN
A20,FAM,N2,Unkn,CC_182_A,39.20240752,NaN
A21,FAM,N2,Unkn,CC_182_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_182_B,28.07954349,NaN
A23,FAM,BCOV,Unkn,NO_182_B,28.14109412,NaN
A24,FAM,BCOV,Unkn,NO_182_B,28.06179735,NaN
C01,FAM,N1,Unkn,NO_182_B,36.42892338,NaN
C02,FAM,N1,Unkn,NO_182_B,37.17453437,NaN
C03,FAM,N1,Unkn,NO_182_B,37.73478769,NaN
C05,FAM,N1,Unkn,MI_182_B,35.78011555,NaN
C06,FAM,N1,Unkn,MI_182_B,36.5729909,NaN
C07,FAM,N1,Unkn,MI_182_B,35.44818361,NaN
C09,FAM,N1,Unkn,CC_182_B,36.29972221,NaN
C10,FAM,N1,Unkn,CC_182_B,36.08395516,NaN
C11,FAM,N1,Unkn,CC_182_B,35.83732715,NaN
C13,FAM,N2,Unkn,NO_182_B,NaN,NaN
C14,FAM,N2,Unkn,NO_182_B,39.76368018,NaN
C15,FAM,N2,Unkn,NO_182_B,NaN,NaN
C16,FAM,N2,Unkn,MI_182_B,NaN,NaN
C17,FAM,N2,Unkn,MI_182_B,NaN,NaN
C18,FAM,N2,Unkn,MI_182_B,NaN,NaN
C19,FAM,N2,Unkn,CC_182_B,39.18061972,NaN
C20,FAM,N2,Unkn,CC_182_B,NaN,NaN
C21,FAM,N2,Unkn,CC_182_B,39.02310773,NaN
C22,FAM,BCOV,Unkn,MI_182_B,26.98604359,NaN
C23,FAM,BCOV,Unkn,MI_182_B,27.9282851,NaN
C24,FAM,BCOV,Unkn,MI_182_B,27.83276861,NaN
E01,FAM,N1,Unkn,NO_182_C,37.18650432,NaN
E02,FAM,N1,Unkn,NO_182_C,36.40145077,NaN
E03,FAM,N1,Unkn,NO_182_C,35.81126129,NaN
E05,FAM,N1,Unkn,MI_182_C,37.05895377,NaN
E06,FAM,N1,Unkn,MI_182_C,37.00803841,NaN
