Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_218_A,NaN,NaN
A02,FAM,N1,Unkn,NO_218_A,37.7787324,NaN
A03,FAM,N1,Unkn,NO_218_A,37.83352596,NaN
A05,FAM,N1,Unkn,MI_218_A,38.38057766,NaN
A06,FAM,N1,Unkn,MI_218_A,NaN,NaN
A07,FAM,N1,Unkn,MI_218_A,NaN,NaN
A09,FAM,N1,Unkn,CC_218_A,35.15049913,NaN
A10,FAM,N1,Unkn,CC_218_A,34.27153165,NaN
A11,FAM,N1,Unkn,CC_218_A,35.13089844,NaN
A13,FAM,N2,Unkn,NO_218_A,39.41696047,NaN
A14,FAM,N2,Unkn,NO_218_A,NaN,NaN
A15,FAM,N2,Unkn,NO_218_A,NaN,NaN
A16,FAM,N2,Unkn,MI_218_A,NaN,NaN
A17,FAM,N2,Unkn,MI_218_A,NaN,NaN
A18,FAM,N2,Unkn,MI_218_A,NaN,NaN
A19,FAM,N2,Unkn,CC_218_A,35.88467451,NaN
A20,FAM,N2,Unkn,CC_218_A,35.7914425,NaN
A21,FAM,N2,Unkn,CC_218_A,36.17036349,NaN
A22,FAM,BCOV,Unkn,NO_218_B,28.55095441,NaN
A23,FAM,BCOV,Unkn,NO_218_B,28.60698215,NaN
A24,FAM,BCOV,Unkn,NO_218_B,28.50947359,NaN
C01,FAM,N1,Unkn,NO_218_B,NaN,NaN
C02,FAM,N1,Unkn,NO_218_B,NaN,NaN
C03,FAM,N1,Unkn,NO_218_B,37.87756595,NaN
C05,FAM,N1,Unkn,MI_218_B,37.28616404,NaN
C06,FAM,N1,Unkn,MI_218_B,37.1050044,NaN
C07,FAM,N1,Unkn,MI_218_B,NaN,NaN
C09,FAM,N1,Unkn,CC_218_B,38.0440585,NaN
C10,FAM,N1,Unkn,CC_218_B,36.73995613,NaN
C11,FAM,N1,Unkn,CC_218_B,36.90735286,NaN
C13,FAM,N2,Unkn,NO_218_B,NaN,NaN
C14,FAM,N2,Unkn,NO_218_B,39.47960131,NaN
C15,FAM,N2,Unkn,NO_218_B,39.55388567,NaN
C19,FAM,N2,Unkn,CC_218_B,39.50239725,NaN
C20,FAM,N2,Unkn,CC_218_B,NaN,NaN
C21,FAM,N2,Unkn,CC_218_B,39.27521942,NaN
C22,FAM,BCOV,Unkn,MI_218_B,28.94051456,NaN
C23,FAM,BCOV,Unkn,MI_218_B,28.84476815,NaN
C24,FAM,BCOV,Unkn,MI_218_B,28.72836273,NaN
E01,FAM,N1,Unkn,NO_218_C,38.31219775,NaN
E02,FAM,N1,Unkn,NO_218_C,37.06404462,NaN
E03,FAM,N1,Unkn,NO_218_C,NaN,NaN
E05,FAM,N1,Unkn,MI_218_C,38.32201408,NaN
E06,FAM,N1,Unkn,MI_218_C,37.53111163,NaN
E07,FAM,N1,Unkn,MI_218_C,37.88833314,NaN
E09,FAM,N1,Unkn,CC_218_C,36.73368375,NaN
E10,FAM,N1,Unkn,CC_218_C,NaN,NaN
E11,FAM,N1,Unkn,CC_218_C,NaN,NaN
E13,FAM,N2,Unkn,NO_218_C,NaN,NaN
E14,FAM,N2,Unkn,NO_218_C,NaN,NaN
E15,FAM,N2,Unkn,NO_218_C,NaN,NaN
E16,FAM,N2,Unkn,MI_218_C,39.15026862,NaN
E17,FAM,N2,Unkn,MI_218_C,NaN,NaN
E18,FAM,N2,Unkn,MI_218_C,39.04972593,NaN
E19,FAM,N2,Unkn,CC_218_C,NaN,NaN
E20,FAM,N2,Unkn,CC_218_C,39.92330531,NaN
E21,FAM,N2,Unkn,CC_218_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_218_B,28.78773614,NaN
E23,FAM,BCOV,Unkn,CC_218_B,28.79184105,NaN
E24,FAM,BCOV,Unkn,CC_218_B,28.76564104,NaN
G01,FAM,N1,Unkn,NO_218_D,NaN,NaN
G02,FAM,N1,Unkn,NO_218_D,NaN,NaN
G03,FAM,N1,Unkn,NO_218_D,37.11905802,NaN
G05,FAM,N1,Unkn,MI_218_D,38.7349825,NaN
G06,FAM,N1,Unkn,MI_218_D,NaN,NaN
G07,FAM,N1,Unkn,MI_218_D,NaN,NaN
G09,FAM,N1,Unkn,CC_218_D,37.23226129,NaN
G10,FAM,N1,Unkn,CC_218_D,37.08097079,NaN
G11,FAM,N1,Unkn,CC_218_D,38.27851136,NaN
G13,FAM,N2,Unkn,NO_218_D,NaN,NaN
G14,FAM,N2,Unkn,NO_218_D,NaN,NaN
G15,FAM,N2,Unkn,NO_218_D,NaN,NaN
G16,FAM,N2,Unkn,MI_218_D,NaN,NaN
G17,FAM,N2,Unkn,MI_218_D,NaN,NaN
G18,FAM,N2,Unkn,MI_218_D,NaN,NaN
G19,FAM,N2,Unkn,CC_218_D,NaN,NaN
G20,FAM,N2,Unkn,CC_218_D,NaN,NaN
G21,FAM,N2,Unkn,CC_218_D,NaN,NaN
G22,FAM,BCOV,Unkn,CG_218,19.59487547,NaN
G23,FAM,BCOV,Unkn,CG_218,19.6527535,NaN
G24,FAM,BCOV,Unkn,CG_218,19.68532105,NaN
I01,FAM,N1,Unkn,NO_218_E,37.71290827,NaN
I02,FAM,N1,Unkn,NO_218_E,37.26455967,NaN
I03,FAM,N1,Unkn,NO_218_E,37.4136369,NaN
I05,FAM,N1,Unkn,MI_218_E,38.25642638,NaN
I06,FAM,N1,Unkn,MI_218_E,37.5026504,NaN
I07,FAM,N1,Unkn,MI_218_E,NaN,NaN
I09,FAM,N1,Unkn,CC_218_E,NaN,NaN
I10,FAM,N1,Unkn,CC_218_E,38.36357452,NaN
I11,FAM,N1,Unkn,CC_218_E,38.3404612,NaN
I13,FAM,N2,Unkn,NO_218_E,NaN,NaN
I14,FAM,N2,Unkn,NO_218_E,39.15206034,NaN
I15,FAM,N2,Unkn,NO_218_E,38.23934026,NaN
I16,FAM,N2,Unkn,MI_218_E,NaN,NaN
I17,FAM,N2,Unkn,MI_218_E,NaN,NaN
I18,FAM,N2,Unkn,MI_218_E,NaN,NaN
I19,FAM,N2,Unkn,CC_218_E,NaN,NaN
I20,FAM,N2,Unkn,CC_218_E,38.30006218,NaN
I21,FAM,N2,Unkn,CC_218_E,38.92813478,NaN
I22,FAM,BCOV,Unkn,NO_RNA_218,8.085188571,NaN
I23,FAM,BCOV,Unkn,NO_RNA_218,8.042846316,NaN
I24,FAM,BCOV,Unkn,NO_RNA_218,8.268636317,NaN
K01,FAM,N1,Unkn,NO_218_F,NaN,NaN
K02,FAM,N1,Unkn,NO_218_F,NaN,NaN
K03,FAM,N1,Unkn,NO_218_F,NaN,NaN
K05,FAM,N1,Unkn,MI_218_F,36.2058739,NaN
K06,FAM,N1,Unkn,MI_218_F,NaN,NaN
K07,FAM,N1,Unkn,MI_218_F,NaN,NaN
K09,FAM,N1,Unkn,CC_218_F,37.55276944,NaN
K10,FAM,N1,Unkn,CC_218_F,36.62206198,NaN
K11,FAM,N1,Unkn,CC_218_F,36.21096168,NaN
K13,FAM,N2,Unkn,NO_218_F,NaN,NaN
K14,FAM,N2,Unkn,NO_218_F,NaN,NaN
K15,FAM,N2,Unkn,NO_218_F,NaN,NaN
