Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_201_A,39.81438874,NaN
A02,FAM,N1,Unkn,NO_201_A,36.47085873,NaN
A03,FAM,N1,Unkn,NO_201_A,37.36420456,NaN
A05,FAM,N1,Unkn,MI_201_A,37.18064675,NaN
A06,FAM,N1,Unkn,MI_201_A,39.0277346,NaN
A07,FAM,N1,Unkn,MI_201_A,36.933309,NaN
A09,FAM,N1,Unkn,CC_201_A,39.06924518,NaN
A10,FAM,N1,Unkn,CC_201_A,37.00505997,NaN
A11,FAM,N1,Unkn,CC_201_A,37.80351649,NaN
A13,FAM,N2,Unkn,NO_201_A,39.79200564,NaN
A14,FAM,N2,Unkn,NO_201_A,39.2686305,NaN
A15,FAM,N2,Unkn,NO_201_A,NaN,NaN
A16,FAM,N2,Unkn,MI_201_A,37.40925831,NaN
A17,FAM,N2,Unkn,MI_201_A,38.17471286,NaN
A18,FAM,N2,Unkn,MI_201_A,37.24126696,NaN
A19,FAM,N2,Unkn,CC_201_A,38.76618594,NaN
A20,FAM,N2,Unkn,CC_201_A,39.23246386,NaN
A21,FAM,N2,Unkn,CC_201_A,39.15462572,NaN
A22,FAM,BCOV,Unkn,NO_201_B,28.70357074,NaN
A23,FAM,BCOV,Unkn,NO_201_B,28.73179788,NaN
A24,FAM,BCOV,Unkn,NO_201_B,28.59357795,NaN
C01,FAM,N1,Unkn,NO_201_B,37.31869685,NaN
C02,FAM,N1,Unkn,NO_201_B,37.12452367,NaN
C03,FAM,N1,Unkn,NO_201_B,38.20829438,NaN
C05,FAM,N1,Unkn,MI_201_B,36.3133958,NaN
C06,FAM,N1,Unkn,MI_201_B,36.96490302,NaN
C07,FAM,N1,Unkn,MI_201_B,36.75478267,NaN
C09,FAM,N1,Unkn,CC_201_B,36.81732814,NaN
C10,FAM,N1,Unkn,CC_201_B,36.78308905,NaN
C11,FAM,N1,Unkn,CC_201_B,37.21924489,NaN
C13,FAM,N2,Unkn,NO_201_B,37.97188127,NaN
C14,FAM,N2,Unkn,NO_201_B,NaN,NaN
C15,FAM,N2,Unkn,NO_201_B,37.97976022,NaN
C16,FAM,N2,Unkn,MI_201_B,37.36558401,NaN
C17,FAM,N2,Unkn,MI_201_B,36.68239047,NaN
C18,FAM,N2,Unkn,MI_201_B,36.98509147,NaN
C19,FAM,N2,Unkn,CC_201_B,39.56733885,NaN
C20,FAM,N2,Unkn,CC_201_B,38.56466429,NaN
C21,FAM,N2,Unkn,CC_201_B,38.99864465,NaN
C22,FAM,BCOV,Unkn,MI_201_B,28.73217312,NaN
C23,FAM,BCOV,Unkn,MI_201_B,28.68921557,NaN
C24,FAM,BCOV,Unkn,MI_201_B,28.67302934,NaN
E01,FAM,N1,Unkn,NO_201_C,36.87566366,NaN
E02,FAM,N1,Unkn,NO_201_C,37.5113212,NaN
E03,FAM,N1,Unkn,NO_201_C,35.55411717,NaN
E05,FAM,N1,Unkn,MI_201_C,37.09609561,NaN
E06,FAM,N1,Unkn,MI_201_C,36.96948429,NaN
E07,FAM,N1,Unkn,MI_201_C,37.03412489,NaN
E09,FAM,N1,Unkn,CC_201_C,36.48305431,NaN
E10,FAM,N1,Unkn,CC_201_C,38.02209897,NaN
E11,FAM,N1,Unkn,CC_201_C,NaN,NaN
E13,FAM,N2,Unkn,NO_201_C,38.14881159,NaN
E14,FAM,N2,Unkn,NO_201_C,39.5451476,NaN
E15,FAM,N2,Unkn,NO_201_C,37.60369084,NaN
E16,FAM,N2,Unkn,MI_201_C,38.07893882,NaN
E17,FAM,N2,Unkn,MI_201_C,38.26930477,NaN
E18,FAM,N2,Unkn,MI_201_C,37.68156935,NaN
E19,FAM,N2,Unkn,CC_201_C,NaN,NaN
E20,FAM,N2,Unkn,CC_201_C,39.4713991,NaN
E21,FAM,N2,Unkn,CC_201_C,38.68020396,NaN
E22,FAM,BCOV,Unkn,CC_201_B,29.0713344,NaN
E23,FAM,BCOV,Unkn,CC_201_B,28.95589493,NaN
E24,FAM,BCOV,Unkn,CC_201_B,28.96929593,NaN
G01,FAM,N1,Unkn,NO_201_D,39.47984791,NaN
G02,FAM,N1,Unkn,NO_201_D,37.58018616,NaN
G03,FAM,N1,Unkn,NO_201_D,36.58515911,NaN
G05,FAM,N1,Unkn,MI_201_D,36.59278898,NaN
G06,FAM,N1,Unkn,MI_201_D,35.65845532,NaN
G07,FAM,N1,Unkn,MI_201_D,38.54864711,NaN
G09,FAM,N1,Unkn,CC_201_D,37.93177675,NaN
G10,FAM,N1,Unkn,CC_201_D,37.37524887,NaN
G11,FAM,N1,Unkn,CC_201_D,37.26580771,NaN
G13,FAM,N2,Unkn,NO_201_D,37.75372643,NaN
G14,FAM,N2,Unkn,NO_201_D,38.93157667,NaN
G15,FAM,N2,Unkn,NO_201_D,NaN,NaN
G16,FAM,N2,Unkn,MI_201_D,37.69396774,NaN
G17,FAM,N2,Unkn,MI_201_D,37.74371823,NaN
G18,FAM,N2,Unkn,MI_201_D,37.88193846,NaN
G19,FAM,N2,Unkn,CC_201_D,NaN,NaN
G20,FAM,N2,Unkn,CC_201_D,39.60456566,NaN
G21,FAM,N2,Unkn,CC_201_D,39.01998797,NaN
G22,FAM,BCOV,Unkn,CG_201,19.79637428,NaN
G23,FAM,BCOV,Unkn,CG_201,19.76902578,NaN
G24,FAM,BCOV,Unkn,CG_201,19.73491175,NaN
I01,FAM,N1,Unkn,NO_201_E,36.97506724,NaN
I02,FAM,N1,Unkn,NO_201_E,37.52591211,NaN
I03,FAM,N1,Unkn,NO_201_E,37.80345908,NaN
I05,FAM,N1,Unkn,MI_201_E,37.47131182,NaN
I06,FAM,N1,Unkn,MI_201_E,35.77693402,NaN
I07,FAM,N1,Unkn,MI_201_E,36.46887903,NaN
I09,FAM,N1,Unkn,CC_201_E,36.26664774,NaN
I10,FAM,N1,Unkn,CC_201_E,NaN,NaN
I11,FAM,N1,Unkn,CC_201_E,36.83117282,NaN
I13,FAM,N2,Unkn,NO_201_E,37.80491792,NaN
I14,FAM,N2,Unkn,NO_201_E,NaN,NaN
I15,FAM,N2,Unkn,NO_201_E,38.80783164,NaN
I16,FAM,N2,Unkn,MI_201_E,37.24905335,NaN
I17,FAM,N2,Unkn,MI_201_E,38.56631652,NaN
I18,FAM,N2,Unkn,MI_201_E,37.54306241,NaN
I19,FAM,N2,Unkn,CC_201_E,38.38203881,NaN
I20,FAM,N2,Unkn,CC_201_E,38.57921318,NaN
I21,FAM,N2,Unkn,CC_201_E,39.18666626,NaN
I22,FAM,BCOV,Unkn,NO_RNA_201,8.354801096,NaN
I23,FAM,BCOV,Unkn,NO_RNA_201,8.31068675,NaN
I24,FAM,BCOV,Unkn,NO_RNA_201,6.081659183,NaN
K01,FAM,N1,Unkn,NO_201_F,37.08901501,NaN
K02,FAM,N1,Unkn,NO_201_F,38.4627163,NaN
K03,FAM,N1,Unkn,NO_201_F,37.96986242,NaN
K05,FAM,N1,Unkn,MI_201_F,36.07993259,NaN
K06,FAM,N1,Unkn,MI_201_F,36.31346444,NaN
K07,FAM,N1,Unkn,MI_201_F,38.79262994,NaN
K09,FAM,N1,Unkn,CC_201_F,38.03443073,NaN
K10,FAM,N1,Unkn,CC_201_F,37.32969019,NaN
K11,FAM,N1,Unkn,CC_201_F,36.80798062,NaN
K13,FAM,N2,Unkn,NO_201_F,39.2249122,NaN
K14,FAM,N2,Unkn,NO_201_F,38.18558651,NaN
K15,FAM,N2,Unkn,NO_201_F,39.32644847,NaN
K16,FAM,N2,Unkn,MI_201_F,37.34525831,NaN
K17,FAM,N2,Unkn,MI_201_F,37.6325056,NaN
K18,FAM,N2,Unkn,MI_201_F,37.38495095,NaN
K19,FAM,N2,Unkn,CC_201_F,39.36815374,NaN
K20,FAM,N2,Unkn,CC_201_F,37.65868303,NaN
K21,FAM,N2,Unkn,CC_201_F,38.73229049,NaN
K22,FAM,BCOV,Unkn,MI_RNA_201,8.161302304,NaN
K23,FAM,BCOV,Unkn,MI_RNA_201,8.184368121,NaN
K24,FAM,BCOV,Unkn,MI_RNA_201,7.086695887,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M05,FAM,N1,Unkn,A-6380J,NaN,NaN
M06,FAM,N1,Unkn,A-6380J,NaN,NaN
M07,FAM,N1,Unkn,A-6380J,NaN,NaN
M09,FAM,N1,Unkn,A-9994H,NaN,NaN
M10,FAM,N1,Unkn,A-9994H,NaN,NaN
M11,FAM,N1,Unkn,A-9994H,NaN,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M22,FAM,BCOV,Unkn,CC_RNA_201,7.585452407,NaN
M23,FAM,BCOV,Unkn,CC_RNA_201,8.324539562,NaN
M24,FAM,BCOV,Unkn,CC_RNA_201,8.067575452,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,19.35071284,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,19.35436668,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,19.34798305,NaN
O05,FAM,N1,Unkn,A-1563F,NaN,NaN
O06,FAM,N1,Unkn,A-1563F,NaN,NaN
O07,FAM,N1,Unkn,A-1563F,NaN,NaN
O09,FAM,N1,Unkn,A-1783H,33.19695175,NaN
O10,FAM,N1,Unkn,A-1783H,34.0596984,NaN
O11,FAM,N1,Unkn,A-1783H,33.04553263,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,20.0970176,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,20.16813949,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,20.09242425,NaN
O22,FAM,BCOV,Unkn,H2O_RNA_201,8.676305304,NaN
O23,FAM,BCOV,Unkn,H2O_RNA_201,8.39956755,NaN
O24,FAM,BCOV,Unkn,H2O_RNA_201,7.824127885,NaN
