Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
B01,FAM,N1,Unkn,NO_211_A,37.43834945,NaN
B02,FAM,N1,Unkn,NO_211_A,37.77478859,NaN
B03,FAM,N1,Unkn,NO_211_A,37.04543028,NaN
B04,FAM,N1,Unkn,MI_211_A,37.15059564,NaN
B05,FAM,N1,Unkn,MI_211_A,38.06611361,NaN
B06,FAM,N1,Unkn,MI_211_A,NaN,NaN
B07,FAM,N1,Unkn,CC_211_A,35.20152327,NaN
B08,FAM,N1,Unkn,CC_211_A,36.35495437,NaN
B09,FAM,N1,Unkn,CC_211_A,37.14420895,NaN
B11,FAM,N2,Unkn,NO_211_A,NaN,NaN
B12,FAM,N2,Unkn,NO_211_A,NaN,NaN
B13,FAM,N2,Unkn,NO_211_A,NaN,NaN
B14,FAM,N2,Unkn,MI_211_A,NaN,NaN
B15,FAM,N2,Unkn,MI_211_A,NaN,NaN
B16,FAM,N2,Unkn,MI_211_A,38.37827133,NaN
B17,FAM,N2,Unkn,CC_211_A,38.52355086,NaN
B18,FAM,N2,Unkn,CC_211_A,38.25050102,NaN
B19,FAM,N2,Unkn,CC_211_A,NaN,NaN
B21,FAM,BCOV,Unkn,CG_211,18.67589061,NaN
B22,FAM,BCOV,Unkn,CG_211,18.47685238,NaN
B23,FAM,BCOV,Unkn,CG_211,18.56892568,NaN
D01,FAM,N1,Unkn,NO_211_B,NaN,NaN
D02,FAM,N1,Unkn,NO_211_B,37.85890283,NaN
D03,FAM,N1,Unkn,NO_211_B,NaN,NaN
D04,FAM,N1,Unkn,MI_211_B,36.92642174,NaN
D05,FAM,N1,Unkn,MI_211_B,35.90826903,NaN
D06,FAM,N1,Unkn,MI_211_B,36.09984976,NaN
D07,FAM,N1,Unkn,CC_211_B,38.11432448,NaN
D08,FAM,N1,Unkn,CC_211_B,37.87624483,NaN
D09,FAM,N1,Unkn,CC_211_B,36.9570851,NaN
D11,FAM,N2,Unkn,NO_211_B,NaN,NaN
D12,FAM,N2,Unkn,NO_211_B,NaN,NaN
D13,FAM,N2,Unkn,NO_211_B,NaN,NaN
D14,FAM,N2,Unkn,MI_211_B,39.40885279,NaN
D15,FAM,N2,Unkn,MI_211_B,38.09441083,NaN
