Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A05,FAM,N1,Unkn,MI_105_A,36.67990318,NaN
A06,FAM,N1,Unkn,MI_105_A,36.32420808,NaN
A07,FAM,N1,Unkn,MI_105_A,36.0142497,NaN
A09,FAM,N1,Unkn,CC_105_A,36.40031911,NaN
A10,FAM,N1,Unkn,CC_105_A,36.55265297,NaN
A11,FAM,N1,Unkn,CC_105_A,37.31439751,NaN
A17,FAM,N2,Unkn,MI_105_A,37.74170853,NaN
A18,FAM,N2,Unkn,MI_105_A,39.23968793,NaN
A19,FAM,N2,Unkn,MI_105_A,39.71539038,NaN
A21,FAM,N2,Unkn,CC_105_A,NaN,NaN
A22,FAM,N2,Unkn,CC_105_A,39.5069247,NaN
A23,FAM,N2,Unkn,CC_105_A,39.51104132,NaN
C05,FAM,N1,Unkn,MI_105_B,36.66898324,NaN
C06,FAM,N1,Unkn,MI_105_B,36.05688797,NaN
C07,FAM,N1,Unkn,MI_105_B,36.87790028,NaN
C09,FAM,N1,Unkn,CC_105_B,38.93847536,NaN
C10,FAM,N1,Unkn,CC_105_B,37.88038677,NaN
C11,FAM,N1,Unkn,CC_105_B,37.84185523,NaN
C17,FAM,N2,Unkn,MI_105_B,39.63071672,NaN
C18,FAM,N2,Unkn,MI_105_B,39.0698393,NaN
C19,FAM,N2,Unkn,MI_105_B,NaN,NaN
C21,FAM,N2,Unkn,CC_105_B,NaN,NaN
C22,FAM,N2,Unkn,CC_105_B,NaN,NaN
C23,FAM,N2,Unkn,CC_105_B,NaN,NaN
E01,FAM,N1,Unkn,NO_105_C,39.04039068,NaN
E02,FAM,N1,Unkn,NO_105_C,37.30167811,NaN
E03,FAM,N1,Unkn,NO_105_C,36.73077434,NaN
E05,FAM,N1,Unkn,MI_105_C,38.47010925,NaN
E06,FAM,N1,Unkn,MI_105_C,36.41161399,NaN
E07,FAM,N1,Unkn,MI_105_C,36.48949162,NaN
E09,FAM,N1,Unkn,CC_105_C,NaN,NaN
E10,FAM,N1,Unkn,CC_105_C,37.80287157,NaN
E11,FAM,N1,Unkn,CC_105_C,37.50245178,NaN
E13,FAM,N2,Unkn,NO_105_C,NaN,NaN
E14,FAM,N2,Unkn,NO_105_C,NaN,NaN
E15,FAM,N2,Unkn,NO_105_C,NaN,NaN
E17,FAM,N2,Unkn,MI_105_C,38.96021274,NaN
E18,FAM,N2,Unkn,MI_105_C,38.69274173,NaN
E19,FAM,N2,Unkn,MI_105_C,38.00256726,NaN
E21,FAM,N2,Unkn,CC_105_C,NaN,NaN
E22,FAM,N2,Unkn,CC_105_C,NaN,NaN
E23,FAM,N2,Unkn,CC_105_C,39.52256567,NaN
G01,FAM,N1,Unkn,NO_105_D,36.28519056,NaN
G02,FAM,N1,Unkn,NO_105_D,36.3957807,NaN
G03,FAM,N1,Unkn,NO_105_D,36.33289145,NaN
G05,FAM,N1,Unkn,MI_105_D,36.0665992,NaN
G06,FAM,N1,Unkn,MI_105_D,37.83631195,NaN
G07,FAM,N1,Unkn,MI_105_D,36.63250833,NaN
G09,FAM,N1,Unkn,CC_105_D,36.90769031,NaN
G10,FAM,N1,Unkn,CC_105_D,NaN,NaN
G11,FAM,N1,Unkn,CC_105_D,NaN,NaN
G13,FAM,N2,Unkn,NO_105_D,NaN,NaN
G14,FAM,N2,Unkn,NO_105_D,NaN,NaN
G15,FAM,N2,Unkn,NO_105_D,NaN,NaN
G17,FAM,N2,Unkn,MI_105_D,NaN,NaN
G18,FAM,N2,Unkn,MI_105_D,39.55008457,NaN
G19,FAM,N2,Unkn,MI_105_D,38.05909456,NaN
G21,FAM,N2,Unkn,CC_105_D,NaN,NaN
