Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,37.25865572,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A05,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A06,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A07,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A09,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A10,FAM,N1,Unkn,CC_XX_A,38.03368448,NaN
A11,FAM,N1,Unkn,CC_XX_A,37.95527523,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,39.80274358,NaN
A16,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,39.68451455,NaN
A21,FAM,N2,Unkn,CC_XX_A,38.91749786,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,33.59884333,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,29.41391229,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,26.88554607,NaN
C01,FAM,N1,Unkn,NO_XX_B,38.11244264,NaN
C02,FAM,N1,Unkn,NO_XX_B,38.04342523,NaN
C03,FAM,N1,Unkn,NO_XX_B,38.27567598,NaN
C05,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C06,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C07,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C09,FAM,N1,Unkn,CC_XX_B,37.88320422,NaN
C10,FAM,N1,Unkn,CC_XX_B,38.0233198,NaN
C11,FAM,N1,Unkn,CC_XX_B,38.00637842,NaN
