Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,35.75607733,NaN
A02,FAM,N1,Unkn,NO_XX_A,36.66924669,NaN
A03,FAM,N1,Unkn,NO_XX_A,35.38433772,NaN
A05,FAM,N1,Unkn,MI_XX_A,34.9515183,NaN
A06,FAM,N1,Unkn,MI_XX_A,35.34107231,NaN
A07,FAM,N1,Unkn,MI_XX_A,35.47802475,NaN
A09,FAM,N1,Unkn,CC_XX_A,36.70857474,NaN
A10,FAM,N1,Unkn,CC_XX_A,36.22816623,NaN
A11,FAM,N1,Unkn,CC_XX_A,36.48960507,NaN
A13,FAM,N2,Unkn,NO_XX_A,38.13435865,NaN
A14,FAM,N2,Unkn,NO_XX_A,38.55054393,NaN
A15,FAM,N2,Unkn,NO_XX_A,38.39680934,NaN
A16,FAM,N2,Unkn,MI_XX_A,37.50253244,NaN
A17,FAM,N2,Unkn,MI_XX_A,37.68044869,NaN
A18,FAM,N2,Unkn,MI_XX_A,37.51557813,NaN
A19,FAM,N2,Unkn,CC_XX_A,38.35664906,NaN
A20,FAM,N2,Unkn,CC_XX_A,37.76939198,NaN
A21,FAM,N2,Unkn,CC_XX_A,38.70438735,NaN
A22,FAM,BCOV,Unkn,CG,20.80601876,NaN
A23,FAM,BCOV,Unkn,CG,20.93004913,NaN
A24,FAM,BCOV,Unkn,CG,20.76587439,NaN
C01,FAM,N1,Unkn,NO_XX_B,35.80317384,NaN
C02,FAM,N1,Unkn,NO_XX_B,35.50844346,NaN
C03,FAM,N1,Unkn,NO_XX_B,35.44538928,NaN
C05,FAM,N1,Unkn,MI_XX_B,34.61680897,NaN
C06,FAM,N1,Unkn,MI_XX_B,35.17198687,NaN
C07,FAM,N1,Unkn,MI_XX_B,35.12890412,NaN
C09,FAM,N1,Unkn,CC_XX_B,36.5922129,NaN
C10,FAM,N1,Unkn,CC_XX_B,35.66138798,NaN
C11,FAM,N1,Unkn,CC_XX_B,37.141919,NaN
C13,FAM,N2,Unkn,NO_XX_B,38.07302177,NaN
C14,FAM,N2,Unkn,NO_XX_B,37.73679905,NaN
C15,FAM,N2,Unkn,NO_XX_B,37.66535947,NaN
C16,FAM,N2,Unkn,MI_XX_B,36.68291289,NaN
C17,FAM,N2,Unkn,MI_XX_B,37.42813367,NaN
C18,FAM,N2,Unkn,MI_XX_B,36.89287778,NaN
C19,FAM,N2,Unkn,CC_XX_B,37.93791409,NaN
C20,FAM,N2,Unkn,CC_XX_B,37.53486083,NaN
C21,FAM,N2,Unkn,CC_XX_B,37.82213734,NaN
C22,FAM,BCOV,Unkn,NO_XX_B,28.88403394,NaN
C23,FAM,BCOV,Unkn,NO_XX_B,28.67747851,NaN
C24,FAM,BCOV,Unkn,NO_XX_B,28.76941607,NaN
E01,FAM,N1,Unkn,NO_XX_C,35.92598939,NaN
E02,FAM,N1,Unkn,NO_XX_C,36.28211224,NaN
E03,FAM,N1,Unkn,NO_XX_C,35.48621535,NaN
E05,FAM,N1,Unkn,MI_XX_C,34.94835583,NaN
E06,FAM,N1,Unkn,MI_XX_C,34.72860234,NaN
E07,FAM,N1,Unkn,MI_XX_C,34.21764442,NaN
E09,FAM,N1,Unkn,CC_XX_C,35.82176008,NaN
E10,FAM,N1,Unkn,CC_XX_C,35.48344462,NaN
E11,FAM,N1,Unkn,CC_XX_C,36.92058532,NaN
E13,FAM,N2,Unkn,NO_XX_C,38.43461278,NaN
E14,FAM,N2,Unkn,NO_XX_C,38.5835541,NaN
E15,FAM,N2,Unkn,NO_XX_C,37.8805397,NaN
E16,FAM,N2,Unkn,MI_XX_C,36.34458566,NaN
E17,FAM,N2,Unkn,MI_XX_C,36.41845254,NaN
E18,FAM,N2,Unkn,MI_XX_C,36.31334134,NaN
E19,FAM,N2,Unkn,CC_XX_C,36.12177464,NaN
E20,FAM,N2,Unkn,CC_XX_C,37.54725169,NaN
E21,FAM,N2,Unkn,CC_XX_C,37.07138586,NaN
E22,FAM,BCOV,Unkn,MI_XX_B,28.56849549,NaN
E23,FAM,BCOV,Unkn,MI_XX_B,28.81892904,NaN
E24,FAM,BCOV,Unkn,MI_XX_B,28.27488773,NaN
G01,FAM,N1,Unkn,NO_XX_D,35.59521451,NaN
G02,FAM,N1,Unkn,NO_XX_D,35.33240159,NaN
G03,FAM,N1,Unkn,NO_XX_D,35.66425602,NaN
G05,FAM,N1,Unkn,MI_XX_D,34.35842929,NaN
G06,FAM,N1,Unkn,MI_XX_D,34.96008068,NaN
G07,FAM,N1,Unkn,MI_XX_D,34.60618438,NaN
G09,FAM,N1,Unkn,CC_XX_D,36.32553884,NaN
G10,FAM,N1,Unkn,CC_XX_D,36.08432781,NaN
G11,FAM,N1,Unkn,CC_XX_D,36.81986476,NaN
G13,FAM,N2,Unkn,NO_XX_D,37.71630072,NaN
G14,FAM,N2,Unkn,NO_XX_D,37.55846153,NaN
G15,FAM,N2,Unkn,NO_XX_D,38.79010759,NaN
G16,FAM,N2,Unkn,MI_XX_D,36.20651576,NaN
G17,FAM,N2,Unkn,MI_XX_D,36.09294594,NaN
G18,FAM,N2,Unkn,MI_XX_D,35.84535608,NaN
G19,FAM,N2,Unkn,CC_XX_D,36.81205248,NaN
G20,FAM,N2,Unkn,CC_XX_D,38.45410239,NaN
G21,FAM,N2,Unkn,CC_XX_D,38.51225646,NaN
G22,FAM,BCOV,Unkn,CC_XX_B,28.35241933,NaN
G23,FAM,BCOV,Unkn,CC_XX_B,28.63904608,NaN
G24,FAM,BCOV,Unkn,CC_XX_B,28.21673515,NaN
I01,FAM,N1,Unkn,NO_XX_E,35.37379428,NaN
I02,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I03,FAM,N1,Unkn,NO_XX_E,35.33915312,NaN
I05,FAM,N1,Unkn,MI_XX_E,NaN,NaN
I06,FAM,N1,Unkn,MI_XX_E,35.28348244,NaN
I07,FAM,N1,Unkn,MI_XX_E,34.70788471,NaN
I09,FAM,N1,Unkn,CC_XX_E,36.57443392,NaN
I10,FAM,N1,Unkn,CC_XX_E,36.08145625,NaN
I11,FAM,N1,Unkn,CC_XX_E,35.43415288,NaN
I13,FAM,N2,Unkn,NO_XX_E,36.47768028,NaN
I14,FAM,N2,Unkn,NO_XX_E,37.5573425,NaN
I15,FAM,N2,Unkn,NO_XX_E,37.28556842,NaN
I16,FAM,N2,Unkn,MI_XX_E,36.72124218,NaN
I17,FAM,N2,Unkn,MI_XX_E,36.69125467,NaN
I18,FAM,N2,Unkn,MI_XX_E,NaN,NaN
I19,FAM,N2,Unkn,CC_XX_E,36.60534826,NaN
I20,FAM,N2,Unkn,CC_XX_E,37.18745508,NaN
I21,FAM,N2,Unkn,CC_XX_E,36.43343672,NaN
I22,FAM,BCOV,Unkn,NO_XX_RNA,25.61194529,NaN
I23,FAM,BCOV,Unkn,NO_XX_RNA,9.584810906,NaN
I24,FAM,BCOV,Unkn,NO_XX_RNA,6.977530487,NaN
K01,FAM,N1,Unkn,NO_XX_F,36.02241761,NaN
K02,FAM,N1,Unkn,NO_XX_F,35.66815099,NaN
K03,FAM,N1,Unkn,NO_XX_F,35.36738136,NaN
K05,FAM,N1,Unkn,MI_XX_F,34.92269429,NaN
K06,FAM,N1,Unkn,MI_XX_F,33.99738868,NaN
K07,FAM,N1,Unkn,MI_XX_F,34.09279462,NaN
