Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,38.6449717,NaN
A05,FAM,N1,Unkn,MI_XX_A,38.96854521,NaN
A06,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A07,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A09,FAM,N1,Unkn,CC_XX_A,39.02867465,NaN
A10,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A11,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A16,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A20,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_XX_B,28.51404815,NaN
A23,FAM,BCOV,Unkn,NO_XX_B,28.08172526,NaN
A24,FAM,BCOV,Unkn,NO_XX_B,28.75126529,NaN
C01,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C02,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C03,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C05,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C06,FAM,N1,Unkn,MI_XX_B,38.81097611,NaN
C07,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C09,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C10,FAM,N1,Unkn,CC_XX_B,38.98411684,NaN
C11,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C16,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C18,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C19,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C20,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C21,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_XX_B,27.95641327,NaN
C23,FAM,BCOV,Unkn,MI_XX_B,27.76863396,NaN
C24,FAM,BCOV,Unkn,MI_XX_B,28.27450553,NaN
E01,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E02,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E03,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E05,FAM,N1,Unkn,MI_XX_C,NaN,NaN
E06,FAM,N1,Unkn,MI_XX_C,NaN,NaN
E07,FAM,N1,Unkn,MI_XX_C,NaN,NaN
E09,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E10,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E11,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E16,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E18,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E19,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E20,FAM,N2,Unkn,CC_XX_C,39.53917967,NaN
E21,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_XX_B,29.21148645,NaN
E23,FAM,BCOV,Unkn,CC_XX_B,29.08221036,NaN
E24,FAM,BCOV,Unkn,CC_XX_B,29.30961193,NaN
G01,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G02,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G03,FAM,N1,Unkn,NO_XX_D,NaN,NaN
G05,FAM,N1,Unkn,MI_XX_D,NaN,NaN
G06,FAM,N1,Unkn,MI_XX_D,NaN,NaN
G07,FAM,N1,Unkn,MI_XX_D,38.4055154,NaN
G09,FAM,N1,Unkn,CC_XX_D,NaN,NaN
G10,FAM,N1,Unkn,CC_XX_D,39.53255233,NaN
G11,FAM,N1,Unkn,CC_XX_D,NaN,NaN
G13,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G14,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G15,FAM,N2,Unkn,NO_XX_D,NaN,NaN
G16,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G17,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G18,FAM,N2,Unkn,MI_XX_D,NaN,NaN
G19,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G20,FAM,N2,Unkn,CC_XX_D,NaN,NaN
G21,FAM,BCOV,Unkn,CG,NaN,NaN
G22,FAM,BCOV,Unkn,CG,19.19074634,NaN
G23,FAM,BCOV,Unkn,CG,19.18760572,NaN
G24,FAM,BCOV,Unkn,CG,19.40527348,NaN
I01,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I02,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I03,FAM,N1,Unkn,NO_XX_E,NaN,NaN
I05,FAM,N1,Unkn,MI_XX_E,38.70578069,NaN
I06,FAM,N1,Unkn,MI_XX_E,NaN,NaN
I07,FAM,N1,Unkn,MI_XX_E,NaN,NaN
I09,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I10,FAM,N1,Unkn,CC_XX_E,38.79417726,NaN
I11,FAM,N1,Unkn,CC_XX_E,NaN,NaN
I13,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I14,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I15,FAM,N2,Unkn,NO_XX_E,NaN,NaN
I16,FAM,N2,Unkn,MI_XX_E,NaN,NaN
I17,FAM,N2,Unkn,MI_XX_E,NaN,NaN
I18,FAM,N2,Unkn,MI_XX_E,NaN,NaN
