File Name,LM_02DEC22_Zymo.pcrd,,,,,
Created By User,admin,,,,,
Notes,Zymo wastewater extracts ran on N1. ,,,,,
ID,,,,,,
Run Started,12/02/2022 19:38:18 UTC,,,,,
Run Ended,12/02/2022 20:52:58 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,95,,,,,
Protocol File Name,SARS-CoV-2 TaqPath Protocol.prcl,,,,,
Plate Setup File Name,LM_02DEC22_Zymo.pltd,,,,,
Base Serial Number,CT053861,,,,,
Optical Head Serial Number,786BR06571,,,,,
CFX Maestro Version,5.2.008.0222. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,5,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_88,NaN,NaN
A02,FAM,N1,Unkn,NO_88,NaN,NaN
A03,FAM,N1,Unkn,NO_88,NaN,NaN
A04,FAM,N1,Unkn,MI_88,NaN,NaN
A05,FAM,N1,Unkn,MI_88,NaN,NaN
A06,FAM,N1,Unkn,MI_88,NaN,NaN
A07,FAM,N1,Unkn,CC_88,NaN,NaN
A08,FAM,N1,Unkn,CC_88,NaN,NaN
A09,FAM,N1,Unkn,CC_88,NaN,NaN
A10,FAM,N1,Unkn,NO_89,NaN,NaN
A11,FAM,N1,Unkn,NO_89,NaN,NaN
A12,FAM,N1,Unkn,NO_89,NaN,NaN
A13,FAM,N1,Unkn,MI_89,NaN,NaN
A14,FAM,N1,Unkn,MI_89,NaN,NaN
A15,FAM,N1,Unkn,MI_89,NaN,NaN
A16,FAM,N1,Unkn,CC_89,NaN,NaN
A17,FAM,N1,Unkn,CC_89,NaN,NaN
A18,FAM,N1,Unkn,CC_89,NaN,NaN
A19,FAM,N1,Unkn,NO_90,NaN,NaN
A20,FAM,N1,Unkn,NO_90,NaN,NaN
A21,FAM,N1,Unkn,NO_90,NaN,NaN
A22,FAM,N1,Unkn,MI_90,NaN,NaN
A23,FAM,N1,Unkn,MI_90,NaN,NaN
A24,FAM,N1,Unkn,MI_90,NaN,NaN
C01,FAM,N1,Unkn,CC_90,NaN,NaN
C02,FAM,N1,Unkn,CC_90,NaN,NaN
C03,FAM,N1,Unkn,CC_90,NaN,NaN
C04,FAM,N1,Unkn,NO_91,NaN,NaN
C05,FAM,N1,Unkn,NO_91,NaN,NaN
C06,FAM,N1,Unkn,NO_91,NaN,NaN
C07,FAM,N1,Unkn,MI_91,NaN,NaN
C08,FAM,N1,Unkn,MI_91,NaN,NaN
C09,FAM,N1,Unkn,MI_91,NaN,NaN
C10,FAM,N1,Unkn,CC_91,NaN,NaN
C11,FAM,N1,Unkn,CC_91,NaN,NaN
C12,FAM,N1,Unkn,CC_91,NaN,NaN
C13,FAM,N1,Unkn,NO_92,NaN,NaN
C14,FAM,N1,Unkn,NO_92,NaN,NaN
C15,FAM,N1,Unkn,NO_92,NaN,NaN
C16,FAM,N1,Unkn,MI_92,NaN,NaN
C17,FAM,N1,Unkn,MI_92,NaN,NaN
C18,FAM,N1,Unkn,MI_92,NaN,NaN
C19,FAM,N1,Unkn,CC_92,NaN,NaN
C20,FAM,N1,Unkn,CC_92,NaN,NaN
C21,FAM,N1,Unkn,CC_92,NaN,NaN
C22,FAM,N1,Unkn,MI_93,NaN,NaN
C23,FAM,N1,Unkn,MI_93,NaN,NaN
C24,FAM,N1,Unkn,MI_93,NaN,NaN
E01,FAM,N1,Unkn,CC_93,NaN,NaN
E02,FAM,N1,Unkn,CC_93,NaN,NaN
E03,FAM,N1,Unkn,CC_93,NaN,NaN
E04,FAM,N1,Unkn,MI_94,NaN,NaN
E05,FAM,N1,Unkn,MI_94,NaN,NaN
E06,FAM,N1,Unkn,MI_94,NaN,NaN
E07,FAM,N1,Unkn,CC_94,NaN,NaN
E08,FAM,N1,Unkn,CC_94,NaN,NaN
E09,FAM,N1,Unkn,CC_94,NaN,NaN
E10,FAM,N1,Unkn,NO_95,NaN,NaN
E11,FAM,N1,Unkn,NO_95,NaN,NaN
E12,FAM,N1,Unkn,NO_95,NaN,NaN
E13,FAM,N1,Unkn,MI_95,NaN,NaN
E14,FAM,N1,Unkn,MI_95,NaN,NaN
E15,FAM,N1,Unkn,MI_95,NaN,NaN
E16,FAM,N1,Unkn,CC_95,NaN,NaN
E17,FAM,N1,Unkn,CC_95,NaN,NaN
E18,FAM,N1,Unkn,CC_95,NaN,NaN
E19,FAM,N1,Unkn,NO_96,NaN,NaN
E20,FAM,N1,Unkn,NO_96,NaN,NaN
E21,FAM,N1,Unkn,NO_96,NaN,NaN
E22,FAM,N1,Unkn,MI_96,NaN,NaN
E23,FAM,N1,Unkn,MI_96,NaN,NaN
E24,FAM,N1,Unkn,MI_96,NaN,NaN
G01,FAM,N1,Unkn,CC_96,NaN,NaN
G02,FAM,N1,Unkn,CC_96,NaN,NaN
G03,FAM,N1,Unkn,CC_96,NaN,NaN
G04,FAM,N1,Unkn,NO_97,NaN,NaN
G05,FAM,N1,Unkn,NO_97,NaN,NaN
G06,FAM,N1,Unkn,NO_97,NaN,NaN
G07,FAM,N1,Unkn,MI_97,NaN,NaN
G08,FAM,N1,Unkn,MI_97,NaN,NaN
G09,FAM,N1,Unkn,MI_97,NaN,NaN
G10,FAM,N1,Unkn,CC_97,NaN,NaN
G11,FAM,N1,Unkn,CC_97,NaN,NaN
G12,FAM,N1,Unkn,CC_97,NaN,NaN
G13,FAM,N1,Unkn,NO_98,NaN,NaN
G14,FAM,N1,Unkn,NO_98,NaN,NaN
G15,FAM,N1,Unkn,NO_98,NaN,NaN
G16,FAM,N1,Unkn,MI_98,NaN,NaN
G17,FAM,N1,Unkn,MI_98,NaN,NaN
G18,FAM,N1,Unkn,MI_98,NaN,NaN
G19,FAM,N1,Unkn,CC_98,36.1305947388284,NaN
G20,FAM,N1,Unkn,CC_98,36.4929654023816,NaN
G21,FAM,N1,Unkn,CC_98,38.3972780730462,NaN
G22,FAM,N1,Unkn,NO_99,NaN,NaN
G23,FAM,N1,Unkn,NO_99,NaN,NaN
G24,FAM,N1,Unkn,NO_99,38.181341243441,NaN
I01,FAM,N1,Unkn,MI_99,NaN,NaN
I02,FAM,N1,Unkn,MI_99,NaN,NaN
I03,FAM,N1,Unkn,MI_99,NaN,NaN
I04,FAM,N1,Unkn,CC_99,NaN,NaN
I05,FAM,N1,Unkn,CC_99,NaN,NaN
I06,FAM,N1,Unkn,CC_99,NaN,NaN
I07,FAM,N1,Unkn,NO_100,NaN,NaN
I08,FAM,N1,Unkn,NO_100,NaN,NaN
I09,FAM,N1,Unkn,NO_100,NaN,NaN
I10,FAM,N1,Unkn,MI_100,NaN,NaN
I11,FAM,N1,Unkn,MI_100,NaN,NaN
I12,FAM,N1,Unkn,MI_100,NaN,NaN
I13,FAM,N1,Unkn,CC_100,NaN,NaN
I14,FAM,N1,Unkn,CC_100,NaN,NaN
I15,FAM,N1,Unkn,CC_100,NaN,NaN
I16,FAM,N1,Unkn,NO_102,NaN,NaN
I17,FAM,N1,Unkn,NO_102,NaN,NaN
I18,FAM,N1,Unkn,NO_102,NaN,NaN
I19,FAM,N1,Unkn,MI_102,35.2494040096821,NaN
I20,FAM,N1,Unkn,MI_102,35.1693287207169,NaN
I21,FAM,N1,Unkn,MI_102,36.1251360716104,NaN
I22,FAM,N1,Unkn,CC_102,35.2220747241443,NaN
I23,FAM,N1,Unkn,CC_102,35.2932083952837,NaN
I24,FAM,N1,Unkn,CC_102,34.8036118726481,NaN
K01,FAM,N1,Unkn,NO_103,NaN,NaN
K02,FAM,N1,Unkn,NO_103,NaN,NaN
K03,FAM,N1,Unkn,NO_103,NaN,NaN
K04,FAM,N1,Unkn,MI_103,NaN,NaN
K05,FAM,N1,Unkn,MI_103,NaN,NaN
K06,FAM,N1,Unkn,MI_103,NaN,NaN
K07,FAM,N1,Unkn,CC_103,NaN,NaN
K08,FAM,N1,Unkn,CC_103,NaN,NaN
K09,FAM,N1,Unkn,CC_103,NaN,NaN
K10,FAM,N1,Unkn,NO_104,NaN,NaN
K11,FAM,N1,Unkn,NO_104,NaN,NaN
K12,FAM,N1,Unkn,NO_104,NaN,NaN
K13,FAM,N1,Unkn,MI_104,NaN,NaN
K14,FAM,N1,Unkn,MI_104,NaN,NaN
K15,FAM,N1,Unkn,MI_104,NaN,NaN
K16,FAM,N1,Unkn,CC_104,NaN,NaN
K17,FAM,N1,Unkn,CC_104,NaN,NaN
K18,FAM,N1,Unkn,CC_104,NaN,NaN
K19,FAM,N1,Unkn,NO_105,37.3531392105343,NaN
K20,FAM,N1,Unkn,NO_105,36.8710426538645,NaN
