Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_210_A,36.41650043,NaN
A02,FAM,N1,Unkn,NO_210_A,37.20517827,NaN
A03,FAM,N1,Unkn,NO_210_A,36.99952959,NaN
A05,FAM,N1,Unkn,MI_210_A,36.11411012,NaN
A06,FAM,N1,Unkn,MI_210_A,36.25871247,NaN
A07,FAM,N1,Unkn,MI_210_A,36.23414647,NaN
A09,FAM,N1,Unkn,CC_210_A,38.49832905,NaN
A10,FAM,N1,Unkn,CC_210_A,37.03867571,NaN
A11,FAM,N1,Unkn,CC_210_A,36.55828407,NaN
A13,FAM,N2,Unkn,NO_210_A,NaN,NaN
A14,FAM,N2,Unkn,NO_210_A,37.30748178,NaN
A15,FAM,N2,Unkn,NO_210_A,37.21688348,NaN
A16,FAM,N2,Unkn,MI_210_A,37.20973784,NaN
A17,FAM,N2,Unkn,MI_210_A,36.36030588,NaN
A18,FAM,N2,Unkn,MI_210_A,36.32897929,NaN
A19,FAM,N2,Unkn,CC_210_A,38.53832604,NaN
A20,FAM,N2,Unkn,CC_210_A,37.70524023,NaN
A21,FAM,N2,Unkn,CC_210_A,38.08475999,NaN
B01,FAM,N1,Unkn,NO_211_A,36.82543107,NaN
B02,FAM,N1,Unkn,NO_211_A,37.37798748,NaN
B03,FAM,N1,Unkn,NO_211_A,37.87506352,NaN
B05,FAM,N1,Unkn,MI_211_A,36.45171683,NaN
B06,FAM,N1,Unkn,MI_211_A,37.18117144,NaN
B07,FAM,N1,Unkn,MI_211_A,37.35852388,NaN
B09,FAM,N1,Unkn,CC_211_A,36.95422148,NaN
B10,FAM,N1,Unkn,CC_211_A,37.43356104,NaN
B11,FAM,N1,Unkn,CC_211_A,37.45143992,NaN
B13,FAM,N2,Unkn,NO_211_A,38.7560849,NaN
B14,FAM,N2,Unkn,NO_211_A,NaN,NaN
B15,FAM,N2,Unkn,NO_211_A,37.76243872,NaN
B16,FAM,N2,Unkn,MI_211_A,37.8933853,NaN
B17,FAM,N2,Unkn,MI_211_A,38.23573818,NaN
B18,FAM,N2,Unkn,MI_211_A,NaN,NaN
