Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_230_A,37.84917078,NaN
A02,FAM,N1,Unkn,NO_230_A,37.8999676,NaN
A03,FAM,N1,Unkn,NO_230_A,NaN,NaN
A05,FAM,N1,Unkn,MI_230_A,36.9324122,NaN
A06,FAM,N1,Unkn,MI_230_A,38.08945705,NaN
A07,FAM,N1,Unkn,MI_230_A,37.09116059,NaN
A09,FAM,N1,Unkn,CC_230_A,36.847291,NaN
A10,FAM,N1,Unkn,CC_230_A,38.13495938,NaN
A11,FAM,N1,Unkn,CC_230_A,37.0608573,NaN
A13,FAM,N2,Unkn,NO_230_A,38.38608073,NaN
A14,FAM,N2,Unkn,NO_230_A,NaN,NaN
A15,FAM,N2,Unkn,NO_230_A,38.23953412,NaN
A17,FAM,N2,Unkn,MI_230_A,38.37950505,NaN
A18,FAM,N2,Unkn,MI_230_A,37.6954755,NaN
A19,FAM,N2,Unkn,MI_230_A,39.35316025,NaN
A21,FAM,N2,Unkn,CC_230_A,NaN,NaN
A22,FAM,N2,Unkn,CC_230_A,39.07981871,NaN
A23,FAM,N2,Unkn,CC_230_A,36.94987514,NaN
C01,FAM,N1,Unkn,NO_230_B,38.15493189,NaN
C02,FAM,N1,Unkn,NO_230_B,36.98044614,NaN
C03,FAM,N1,Unkn,NO_230_B,37.73036138,NaN
C05,FAM,N1,Unkn,MI_230_B,36.85002026,NaN
C06,FAM,N1,Unkn,MI_230_B,36.09847813,NaN
C07,FAM,N1,Unkn,MI_230_B,37.77116146,NaN
C09,FAM,N1,Unkn,CC_230_B,37.64207789,NaN
C10,FAM,N1,Unkn,CC_230_B,36.47915551,NaN
C11,FAM,N1,Unkn,CC_230_B,36.59365371,NaN
C13,FAM,N2,Unkn,NO_230_B,NaN,NaN
C14,FAM,N2,Unkn,NO_230_B,38.19363824,NaN
C15,FAM,N2,Unkn,NO_230_B,NaN,NaN
C17,FAM,N2,Unkn,MI_230_B,NaN,NaN
C18,FAM,N2,Unkn,MI_230_B,NaN,NaN
C19,FAM,N2,Unkn,MI_230_B,39.69121007,NaN
C21,FAM,N2,Unkn,CC_230_B,37.71346334,NaN
C22,FAM,N2,Unkn,CC_230_B,39.55534334,NaN
C23,FAM,N2,Unkn,CC_230_B,39.56657574,NaN
E01,FAM,N1,Unkn,NO_230_C,NaN,NaN
E02,FAM,N1,Unkn,NO_230_C,NaN,NaN
E03,FAM,N1,Unkn,NO_230_C,37.6781219,NaN
E05,FAM,N1,Unkn,MI_230_C,NaN,NaN
E06,FAM,N1,Unkn,MI_230_C,36.81252383,NaN
E07,FAM,N1,Unkn,MI_230_C,NaN,NaN
E09,FAM,N1,Unkn,CC_230_C,37.71128562,NaN
E10,FAM,N1,Unkn,CC_230_C,37.85276819,NaN
E11,FAM,N1,Unkn,CC_230_C,36.88285254,NaN
E13,FAM,N2,Unkn,NO_230_C,NaN,NaN
