File Name,LM_13SEPT22_Zymo.pcrd,,,,,
Created By User,admin,,,,,
Notes,Zymo backlog  ran on 9/13. NO 81 RNA partially spilled when adding to strip tube. 128 samples ran on N1. ,,,,,
ID,,,,,,
Run Started,09/13/2022 15:07:06 UTC,,,,,
Run Ended,09/13/2022 16:23:39 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,95,,,,,
Protocol File Name,SARS-CoV-2 TaqPath Protocol.prcl,,,,,
Plate Setup File Name,LM_13SEPT22_Zymo.pltd,,,,,
Base Serial Number,CT053861,,,,,
Optical Head Serial Number,786BR06571,,,,,
CFX Maestro Version,5.2.008.0222. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,5,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_125,NaN,NaN
A02,FAM,N1,Unkn,NO_125,NaN,NaN
A03,FAM,N1,Unkn,NO_125,NaN,NaN
A04,FAM,N1,Unkn,MI_125,NaN,NaN
A05,FAM,N1,Unkn,MI_125,NaN,NaN
A06,FAM,N1,Unkn,MI_125,36.7407331223468,NaN
A07,FAM,N1,Unkn,CC_125,33.500353140533,NaN
A08,FAM,N1,Unkn,CC_125,32.8645096598891,NaN
A09,FAM,N1,Unkn,CC_125,33.8721486740267,NaN
A10,FAM,N1,Unkn,NO_167,37.9411646812567,NaN
A11,FAM,N1,Unkn,NO_167,38.0871896820389,NaN
A12,FAM,N1,Unkn,NO_167,36.4061271323821,NaN
A13,FAM,N1,Unkn,MI_169,38.0398981246571,NaN
A14,FAM,N1,Unkn,MI_169,38.2065052029156,NaN
A15,FAM,N1,Unkn,MI_169,NaN,NaN
A16,FAM,N1,Unkn,CC_169,NaN,NaN
A17,FAM,N1,Unkn,CC_169,38.0125435916504,NaN
A18,FAM,N1,Unkn,CC_169,NaN,NaN
A19,FAM,N1,Unkn,NO_78,NaN,NaN
A20,FAM,N1,Unkn,NO_78,NaN,NaN
