Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_222_A,36.30310735,NaN
A02,FAM,N1,Unkn,NO_222_A,NaN,NaN
A03,FAM,N1,Unkn,NO_222_A,37.9575127,NaN
A05,FAM,N1,Unkn,MI_222_A,37.72674012,NaN
A06,FAM,N1,Unkn,MI_222_A,37.48799796,NaN
A07,FAM,N1,Unkn,MI_222_A,36.47428716,NaN
A09,FAM,N1,Unkn,CC_222_A,36.38241203,NaN
A10,FAM,N1,Unkn,CC_222_A,36.58850664,NaN
A11,FAM,N1,Unkn,CC_222_A,37.79821242,NaN
A13,FAM,N2,Unkn,NO_222_A,NaN,NaN
A14,FAM,N2,Unkn,NO_222_A,39.4426891,NaN
A15,FAM,N2,Unkn,NO_222_A,39.20991599,NaN
A17,FAM,N2,Unkn,MI_222_A,38.79052203,NaN
A18,FAM,N2,Unkn,MI_222_A,38.85374372,NaN
A19,FAM,N2,Unkn,MI_222_A,39.01117365,NaN
A21,FAM,N2,Unkn,CC_222_A,38.43376838,NaN
A22,FAM,N2,Unkn,CC_222_A,37.43242767,NaN
A23,FAM,N2,Unkn,CC_222_A,37.13785632,NaN
C01,FAM,N1,Unkn,NO_222_B,38.52632234,NaN
C02,FAM,N1,Unkn,NO_222_B,39.55930551,NaN
C03,FAM,N1,Unkn,NO_222_B,36.93330688,NaN
C05,FAM,N1,Unkn,MI_222_B,37.48750359,NaN
C06,FAM,N1,Unkn,MI_222_B,38.98921007,NaN
C07,FAM,N1,Unkn,MI_222_B,39.25958941,NaN
C09,FAM,N1,Unkn,CC_222_B,36.61817615,NaN
C10,FAM,N1,Unkn,CC_222_B,37.4645072,NaN
C11,FAM,N1,Unkn,CC_222_B,36.41733118,NaN
C13,FAM,N2,Unkn,NO_222_B,NaN,NaN
C14,FAM,N2,Unkn,NO_222_B,NaN,NaN
C15,FAM,N2,Unkn,NO_222_B,NaN,NaN
C17,FAM,N2,Unkn,MI_222_B,38.7175458,NaN
C18,FAM,N2,Unkn,MI_222_B,39.44467586,NaN
C19,FAM,N2,Unkn,MI_222_B,37.90580529,NaN
C21,FAM,N2,Unkn,CC_222_B,38.11022847,NaN
C22,FAM,N2,Unkn,CC_222_B,38.39495046,NaN
C23,FAM,N2,Unkn,CC_222_B,38.01205261,NaN
E01,FAM,N1,Unkn,NO_222_C,36.30281204,NaN
E02,FAM,N1,Unkn,NO_222_C,NaN,NaN
E03,FAM,N1,Unkn,NO_222_C,37.012414,NaN
E05,FAM,N1,Unkn,MI_222_C,36.21634826,NaN
E06,FAM,N1,Unkn,MI_222_C,36.38001579,NaN
E07,FAM,N1,Unkn,MI_222_C,36.35041607,NaN
E09,FAM,N1,Unkn,CC_222_C,36.39018737,NaN
E10,FAM,N1,Unkn,CC_222_C,36.35407108,NaN
E11,FAM,N1,Unkn,CC_222_C,36.49848692,NaN
E13,FAM,N2,Unkn,NO_222_C,39.26497286,NaN
E14,FAM,N2,Unkn,NO_222_C,NaN,NaN
E15,FAM,N2,Unkn,NO_222_C,NaN,NaN
E17,FAM,N2,Unkn,MI_222_C,NaN,NaN
E18,FAM,N2,Unkn,MI_222_C,39.25963449,NaN
E19,FAM,N2,Unkn,MI_222_C,37.28691103,NaN
E21,FAM,N2,Unkn,CC_222_C,37.75083739,NaN
E22,FAM,N2,Unkn,CC_222_C,37.4796247,NaN
E23,FAM,N2,Unkn,CC_222_C,NaN,NaN
G01,FAM,N1,Unkn,NO_223_A,38.42291847,NaN
G02,FAM,N1,Unkn,NO_223_A,NaN,NaN
G03,FAM,N1,Unkn,NO_223_A,38.37504712,NaN
G05,FAM,N1,Unkn,MI_223_A,36.73791578,NaN
G06,FAM,N1,Unkn,MI_223_A,37.00580818,NaN
G07,FAM,N1,Unkn,MI_223_A,38.85840858,NaN
G09,FAM,N1,Unkn,CC_223_A,35.86602255,NaN
G10,FAM,N1,Unkn,CC_223_A,NaN,NaN
G11,FAM,N1,Unkn,CC_223_A,37.42821224,NaN
G13,FAM,N2,Unkn,NO_223_A,39.36958909,NaN
G14,FAM,N2,Unkn,NO_223_A,38.43333095,NaN
G15,FAM,N2,Unkn,NO_223_A,NaN,NaN
G17,FAM,N2,Unkn,MI_223_A,39.09354481,NaN
G18,FAM,N2,Unkn,MI_223_A,39.54596241,NaN
G19,FAM,N2,Unkn,MI_223_A,39.48330518,NaN
G21,FAM,N2,Unkn,CC_223_A,NaN,NaN
G22,FAM,N2,Unkn,CC_223_A,39.84189417,NaN
G23,FAM,N2,Unkn,CC_223_A,NaN,NaN
I01,FAM,N1,Unkn,NO_223_B,36.36444238,NaN
I02,FAM,N1,Unkn,NO_223_B,NaN,NaN
I03,FAM,N1,Unkn,NO_223_B,NaN,NaN
I05,FAM,N1,Unkn,MI_223_B,NaN,NaN
I06,FAM,N1,Unkn,MI_223_B,35.83578437,NaN
I07,FAM,N1,Unkn,MI_223_B,38.35769793,NaN
I09,FAM,N1,Unkn,CC_223_B,37.8448905,NaN
I10,FAM,N1,Unkn,CC_223_B,36.68977363,NaN
I11,FAM,N1,Unkn,CC_223_B,37.01445671,NaN
I13,FAM,N2,Unkn,NO_223_B,39.13876055,NaN
I14,FAM,N2,Unkn,NO_223_B,NaN,NaN
I15,FAM,N2,Unkn,NO_223_B,39.01619586,NaN
I17,FAM,N2,Unkn,MI_223_B,38.95023119,NaN
I18,FAM,N2,Unkn,MI_223_B,NaN,NaN
I19,FAM,N2,Unkn,MI_223_B,39.94784211,NaN
I21,FAM,N2,Unkn,CC_223_B,38.32130191,NaN
I22,FAM,N2,Unkn,CC_223_B,39.80673571,NaN
I23,FAM,N2,Unkn,CC_223_B,37.85890305,NaN
K01,FAM,N1,Unkn,NO_223_C,37.04295832,NaN
K02,FAM,N1,Unkn,NO_223_C,36.13975621,NaN
K03,FAM,N1,Unkn,NO_223_C,NaN,NaN
K05,FAM,N1,Unkn,MI_223_C,38.3461541,NaN
K06,FAM,N1,Unkn,MI_223_C,38.89598423,NaN
K07,FAM,N1,Unkn,MI_223_C,NaN,NaN
K09,FAM,N1,Unkn,CC_223_C,36.39244829,NaN
K10,FAM,N1,Unkn,CC_223_C,37.97075907,NaN
K11,FAM,N1,Unkn,CC_223_C,38.72772382,NaN
K13,FAM,N2,Unkn,NO_223_C,39.0180434,NaN
K14,FAM,N2,Unkn,NO_223_C,NaN,NaN
K15,FAM,N2,Unkn,NO_223_C,NaN,NaN
K17,FAM,N2,Unkn,MI_223_C,NaN,NaN
K18,FAM,N2,Unkn,MI_223_C,NaN,NaN
K19,FAM,N2,Unkn,MI_223_C,38.39115902,NaN
K21,FAM,N2,Unkn,CC_223_C,37.75222916,NaN
K22,FAM,N2,Unkn,CC_223_C,37.99649741,NaN
K23,FAM,N2,Unkn,CC_223_C,38.54219803,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M05,FAM,N1,Unkn,SARS-CoV-2,18.39999623,NaN
M06,FAM,N1,Unkn,SARS-CoV-2,18.42180368,NaN
M07,FAM,N1,Unkn,SARS-CoV-2,18.32992132,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M17,FAM,N2,Unkn,SARS-CoV-2,19.10748556,NaN
M18,FAM,N2,Unkn,SARS-CoV-2,19.12487295,NaN
M19,FAM,N2,Unkn,SARS-CoV-2,19.09676151,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,18.2342474,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,18.27139414,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,18.19909791,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,18.93181922,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,18.92013305,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,18.8151423,NaN
