File Name,LM_21APR23_zymo.pcrd,,,,,
Created By User,admin,,,,,
Notes,Zymo wastewater extracts ran on N1. Zymo wastewater extracts without BCOV spike in ran on BCOV,,,,,
ID,,,,,,
Run Started,04/21/2023 18:36:32 UTC,,,,,
Run Ended,04/21/2023 19:43:06 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,95,,,,,
Protocol File Name,SARS-CoV-2 TaqPath Protocol.prcl,,,,,
Plate Setup File Name,LM_21APR23_zymo.pltd,,,,,
Base Serial Number,CT053861,,,,,
Optical Head Serial Number,786BR06571,,,,,
CFX Maestro Version,5.2.008.0222. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,5,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,MI_118,33.7427432782526,NaN
A02,FAM,N1,Unkn,MI_118,33.1004204131508,NaN
A03,FAM,N1,Unkn,MI_118,33.6064151727448,NaN
A04,FAM,N1,Unkn,BLANK,NaN,NaN
A05,FAM,N1,Unkn,BLANK,NaN,NaN
A06,FAM,N1,Unkn,BLANK,NaN,NaN
A07,FAM,BCOV,Unkn,NO_240,NaN,NaN
A08,FAM,BCOV,Unkn,NO_240,NaN,NaN
A09,FAM,BCOV,Unkn,NO_240,NaN,NaN
A10,FAM,BCOV,Unkn,NO_238,NaN,NaN
A11,FAM,BCOV,Unkn,NO_238,NaN,NaN
A12,FAM,BCOV,Unkn,NO_238,NaN,NaN
A13,FAM,BCOV,Unkn,NO_234,NaN,NaN
A14,FAM,BCOV,Unkn,NO_234,NaN,NaN
A15,FAM,BCOV,Unkn,NO_234,NaN,NaN
A16,FAM,BCOV,Unkn,NO_232,NaN,NaN
A17,FAM,BCOV,Unkn,NO_232,NaN,NaN
A18,FAM,BCOV,Unkn,NO_232,NaN,NaN
A19,FAM,BCOV,Unkn,NO_230,NaN,NaN
A20,FAM,BCOV,Unkn,NO_230,NaN,NaN
A21,FAM,BCOV,Unkn,NO_230,NaN,NaN
A22,FAM,BCOV,Unkn,NO_228,NaN,NaN
A23,FAM,BCOV,Unkn,NO_228,NaN,NaN
A24,FAM,BCOV,Unkn,NO_228,NaN,NaN
C01,FAM,N1,Unkn,MI_122,35.447843118706,NaN
C02,FAM,N1,Unkn,MI_122,35.8667713357345,NaN
C03,FAM,N1,Unkn,MI_122,35.8808637501819,NaN
C04,FAM,BCOV,Unkn,NO_242,29.3582168995238,NaN
C05,FAM,BCOV,Unkn,NO_242,29.7179193717077,NaN
C06,FAM,BCOV,Unkn,NO_242,29.5451493408174,NaN
C07,FAM,BCOV,Unkn,MI_240,NaN,NaN
C08,FAM,BCOV,Unkn,MI_240,NaN,NaN
C09,FAM,BCOV,Unkn,MI_240,NaN,NaN
C10,FAM,BCOV,Unkn,MI_238,NaN,NaN
C11,FAM,BCOV,Unkn,MI_238,NaN,NaN
