Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
A05,FAM,N1,Unkn,MI_XX_A,35.95095035,NaN
A06,FAM,N1,Unkn,MI_XX_A,NaN,NaN
A07,FAM,N1,Unkn,MI_XX_A,35.95241226,NaN
A09,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A10,FAM,N1,Unkn,CC_XX_A,37.84313726,NaN
A11,FAM,N1,Unkn,CC_XX_A,NaN,NaN
A13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
A17,FAM,N2,Unkn,MI_XX_A,38.20634833,NaN
A18,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A19,FAM,N2,Unkn,MI_XX_A,NaN,NaN
A21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A22,FAM,N2,Unkn,CC_XX_A,NaN,NaN
A23,FAM,N2,Unkn,CC_XX_A,NaN,NaN
B01,FAM,N1,Unkn,NO_XX_A,NaN,NaN
B02,FAM,N1,Unkn,NO_XX_A,NaN,NaN
B03,FAM,N1,Unkn,NO_XX_A,NaN,NaN
B05,FAM,N1,Unkn,MI_XX_A,38.00312489,NaN
B06,FAM,N1,Unkn,MI_XX_A,NaN,NaN
B07,FAM,N1,Unkn,MI_XX_A,NaN,NaN
B09,FAM,N1,Unkn,CC_XX_A,36.49879001,NaN
B10,FAM,N1,Unkn,CC_XX_A,38.18009676,NaN
B11,FAM,N1,Unkn,CC_XX_A,NaN,NaN
B13,FAM,N2,Unkn,NO_XX_A,NaN,NaN
B14,FAM,N2,Unkn,NO_XX_A,NaN,NaN
B15,FAM,N2,Unkn,NO_XX_A,NaN,NaN
B17,FAM,N2,Unkn,MI_XX_A,NaN,NaN
B18,FAM,N2,Unkn,MI_XX_A,38.50187727,NaN
B19,FAM,N2,Unkn,MI_XX_A,NaN,NaN
B21,FAM,N2,Unkn,CC_XX_A,NaN,NaN
B22,FAM,N2,Unkn,CC_XX_A,39.43169011,NaN
B23,FAM,N2,Unkn,CC_XX_A,38.15013988,NaN
C01,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C02,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C03,FAM,N1,Unkn,NO_XX_B,NaN,NaN
C05,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C06,FAM,N1,Unkn,MI_XX_B,NaN,NaN
C07,FAM,N1,Unkn,MI_XX_B,36.78995275,NaN
C09,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C10,FAM,N1,Unkn,CC_XX_B,NaN,NaN
C11,FAM,N1,Unkn,CC_XX_B,37.24334445,NaN
C13,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
C17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C18,FAM,N2,Unkn,MI_XX_B,NaN,NaN
C19,FAM,N2,Unkn,MI_XX_B,39.09805881,NaN
C21,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C22,FAM,N2,Unkn,CC_XX_B,NaN,NaN
C23,FAM,N2,Unkn,CC_XX_B,NaN,NaN
D01,FAM,N1,Unkn,NO_XX_B,NaN,NaN
D02,FAM,N1,Unkn,NO_XX_B,NaN,NaN
D03,FAM,N1,Unkn,NO_XX_B,NaN,NaN
D05,FAM,N1,Unkn,MI_XX_B,NaN,NaN
D06,FAM,N1,Unkn,MI_XX_B,NaN,NaN
D07,FAM,N1,Unkn,MI_XX_B,NaN,NaN
D09,FAM,N1,Unkn,CC_XX_B,38.1780354,NaN
D10,FAM,N1,Unkn,CC_XX_B,37.27009209,NaN
D11,FAM,N1,Unkn,CC_XX_B,36.23322415,NaN
D13,FAM,N2,Unkn,NO_XX_B,38.86288936,NaN
D14,FAM,N2,Unkn,NO_XX_B,NaN,NaN
D15,FAM,N2,Unkn,NO_XX_B,NaN,NaN
D17,FAM,N2,Unkn,MI_XX_B,NaN,NaN
D18,FAM,N2,Unkn,MI_XX_B,NaN,NaN
D19,FAM,N2,Unkn,MI_XX_B,NaN,NaN
D21,FAM,N2,Unkn,CC_XX_B,37.50436498,NaN
D22,FAM,N2,Unkn,CC_XX_B,38.09706635,NaN
D23,FAM,N2,Unkn,CC_XX_B,NaN,NaN
E01,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E02,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E03,FAM,N1,Unkn,NO_XX_C,NaN,NaN
E05,FAM,N1,Unkn,MI_XX_C,NaN,NaN
E06,FAM,N1,Unkn,MI_XX_C,37.73459828,NaN
E07,FAM,N1,Unkn,MI_XX_C,37.7794827,NaN
E09,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E10,FAM,N1,Unkn,CC_XX_C,37.72400164,NaN
E11,FAM,N1,Unkn,CC_XX_C,NaN,NaN
E13,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E14,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E15,FAM,N2,Unkn,NO_XX_C,NaN,NaN
E17,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E18,FAM,N2,Unkn,MI_XX_C,NaN,NaN
E19,FAM,N2,Unkn,MI_XX_C,39.10543776,NaN
E21,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E22,FAM,N2,Unkn,CC_XX_C,NaN,NaN
E23,FAM,N2,Unkn,CC_XX_C,NaN,NaN
F01,FAM,N1,Unkn,NO_XX_C,NaN,NaN
F02,FAM,N1,Unkn,NO_XX_C,NaN,NaN
F03,FAM,N1,Unkn,NO_XX_C,NaN,NaN
F05,FAM,N1,Unkn,MI_XX_C,NaN,NaN
F06,FAM,N1,Unkn,MI_XX_C,NaN,NaN
F07,FAM,N1,Unkn,MI_XX_C,NaN,NaN
F09,FAM,N1,Unkn,CC_XX_C,38.48396645,NaN
F10,FAM,N1,Unkn,CC_XX_C,37.06950553,NaN
F11,FAM,N1,Unkn,CC_XX_C,NaN,NaN
