sample,target,ct,copies_uL_rxn,log_copies_rxn
Unditulted,N1,24.50570488,480,2.681241237
Unditulted,N1,22.7922802,480,2.681241237
Unditulted,N1,22.83028221,480,2.681241237
Unditulted,N1,22.66526985,480,2.681241237
Unditulted,N1,22.65884018,480,2.681241237
Unditulted,N1,22.7016201,480,2.681241237
Unditulted,N2,24.72276306,480,2.681241237
Unditulted,N2,24.79263687,480,2.681241237
Unditulted,N2,24.59858894,480,2.681241237
Unditulted,N2,24.96547318,480,2.681241237
Unditulted,N2,24.67272949,480,2.681241237
Unditulted,N2,24.47982979,480,2.681241237
1:5,N1,25.03813553,96,1.982271233
1:5,N1,24.89619446,96,1.982271233
1:5,N1,25.12371063,96,1.982271233
1:5,N1,24.92393494,96,1.982271233
1:5,N1,25.01206779,96,1.982271233
1:5,N1,25.03473473,96,1.982271233
1:5,N2,27.78082848,96,1.982271233
1:5,N2,27.20045662,96,1.982271233
1:5,N2,26.70348549,96,1.982271233
1:5,N2,27.3984623,96,1.982271233
1:5,N2,27.48816299,96,1.982271233
1:5,N2,26.94843292,96,1.982271233
1:25,N1,27.37226677,19.2,1.283301229
1:25,N1,27.36351013,19.2,1.283301229
1:25,N1,27.1479454,19.2,1.283301229
1:25,N1,27.05255318,19.2,1.283301229
1:25,N1,27.50031662,19.2,1.283301229
1:25,N1,26.42210579,19.2,1.283301229
1:25,N2,30.18209267,19.2,1.283301229
1:25,N2,29.55450058,19.2,1.283301229
1:25,N2,29.58228111,19.2,1.283301229
1:25,N2,29.44857407,19.2,1.283301229
1:25,N2,28.87952232,19.2,1.283301229
1:25,N2,29.56317711,19.2,1.283301229
1:125,N1,29.88985634,3.84,0.584331224
1:125,N1,29.60115242,3.84,0.584331224
1:125,N1,28.53926468,3.84,0.584331224
1:125,N2,32.43055344,3.84,0.584331224
1:125,N2,31.51907539,3.84,0.584331224
1:125,N2,31.43897629,3.84,0.584331224
1:125,N2,32.52843094,3.84,0.584331224
1:125,N2,31.81992912,3.84,0.584331224
1:125,N2,31.98180771,3.84,0.584331224
1:625,N1,32.43728256,0.768,-0.11463878
1:625,N1,31.88185883,0.768,-0.11463878
1:625,N1,32.11026001,0.768,-0.11463878
1:625,N1,32.89492798,0.768,-0.11463878
1:625,N1,31.95233727,0.768,-0.11463878
1:625,N1,32.59207916,0.768,-0.11463878
1:625,N2,34.79119873,0.768,-0.11463878
1:625,N2,34.5562973,0.768,-0.11463878
1:625,N2,34.70646667,0.768,-0.11463878
1:625,N2,34.54985046,0.768,-0.11463878
1:625,N2,35.79702377,0.768,-0.11463878
1:625,N2,34.41877365,0.768,-0.11463878
